eventID,volume,particle,energy_MeV,theta_deg,phi_deg
16,Collimator,gamma,17.2982,6.37028,15.3102
16,Collimator,gamma,3.62275,63.074,-137.43
16,Collimator,gamma,2.31963,8.43528,13.5586
16,Collimator,gamma,2.21928,10.3287,6.21926
16,Phantom,gamma,5.49334,1.57037,-92.3155
16,Scint1,gamma,5.49334,1.57037,-92.3155
16,DWC1,gamma,5.49334,1.57037,-92.3155
16,DWC2,gamma,5.49334,1.57037,-92.3155
16,Scint2,gamma,5.49334,1.57037,-92.3155
16,Phantom,gamma,67.2705,1.04969,-48.6382
16,Scint1,gamma,67.2705,1.04969,-48.6382
16,DWC1,gamma,67.2705,1.04969,-48.6382
16,DWC2,gamma,67.2705,1.04969,-48.6382
16,Scint2,gamma,67.2705,1.04969,-48.6382
16,Collimator,gamma,0.985932,14.3222,135.09
16,Collimator,gamma,6.08004,13.3355,58.5152
16,Collimator,gamma,4.86797,5.29616,96.1194
16,Collimator,gamma,0.430127,5.31998,112.193
16,Phantom,gamma,0.361518,1.36642,-85.2886
16,Scint1,gamma,0.361518,1.36642,-85.2886
16,DWC1,gamma,0.361518,1.36642,-85.2886
16,DWC2,gamma,0.361518,1.36642,-85.2886
16,Scint2,gamma,0.361518,1.36642,-85.2886
16,Collimator,gamma,262.895,2.73309,-17.8949
16,Phantom,gamma,16.281,12.2773,-81.0817
16,Phantom,gamma,4.84405,6.4733,-65.88
16,Scint1,gamma,4.84405,6.4733,-65.88
16,DWC1,gamma,4.84405,6.4733,-65.88
16,DWC2,gamma,4.84405,6.4733,-65.88
16,Phantom,gamma,1.99703,4.91144,1.86592
16,Scint1,gamma,1.99703,4.91144,1.86592
16,Collimator,gamma,0.193726,111.389,88.3443
16,Phantom,gamma,38.6303,1.75036,154.773
16,Scint1,gamma,38.6303,1.75036,154.773
16,DWC1,gamma,38.6303,1.75036,154.773
16,DWC2,gamma,38.6303,1.75036,154.773
16,Scint2,gamma,38.6303,1.75036,154.773
16,Collimator,gamma,0.231275,112.868,-176.457
16,Collimator,gamma,1.19858,30.3516,97.5093
16,Phantom,gamma,3.2356,2.11965,-23.0021
16,Scint1,gamma,3.2356,2.11965,-23.0021
16,DWC1,gamma,3.2356,2.11965,-23.0021
16,DWC2,gamma,3.2356,2.11965,-23.0021
16,Scint2,gamma,3.2356,2.11965,-23.0021
16,Collimator,gamma,1.36801,75.9624,-128.745
16,Phantom,gamma,0.395503,18.8615,147.404
16,Phantom,gamma,1.74483,19.4651,149.561
16,Collimator,gamma,0.260654,92.7495,164.791
16,Phantom,gamma,16.4526,4.64422,137.299
16,Scint1,gamma,16.4526,4.64422,137.299
16,DWC1,gamma,16.4526,4.64422,137.299
16,DWC2,gamma,16.4526,4.64422,137.299
16,Collimator,gamma,0.510999,18.89,-34.1054
16,Collimator,gamma,3.58092,18.714,-78.9974
16,Collimator,gamma,3.58865,12.2624,-20.5313
17,Collimator,gamma,30.0259,4.47205,-43.9424
17,Collimator,gamma,27.9392,12.2409,37.2851
17,Collimator,gamma,4.11962,11.0033,35.0522
17,Collimator,gamma,4.74362,10.0951,42.3031
17,Collimator,gamma,59.4546,5.12006,27.7246
17,Collimator,gamma,0.836722,96.7653,-132.382
17,Collimator,gamma,1.73734,81.2437,177.176
17,Collimator,gamma,10.1268,48.4994,-178.597
17,Phantom,gamma,1.06195,3.73337,-124.459
17,Scint1,gamma,1.0216,13.872,-162.942
17,DWC1,gamma,1.0216,13.872,-162.942
17,Phantom,gamma,2.25139,15.6942,125.631
17,Collimator,gamma,2.83471,11.8648,68.8332
17,Collimator,gamma,0.850117,12.2823,-44.6646
17,Collimator,gamma,5.49973,2.67792,-20.5762
17,Phantom,gamma,0.510999,16.0055,122.124
17,Collimator,gamma,15.8912,14.0818,-87.8824
17,Collimator,gamma,3.41593,3.017,-15.8074
17,Phantom,gamma,212.137,0.304556,80.4508
17,Scint1,gamma,212.137,0.304556,80.4508
17,DWC1,gamma,212.137,0.304556,80.4508
17,DWC2,gamma,212.137,0.304556,80.4508
17,Scint2,gamma,212.137,0.304556,80.4508
17,Phantom,gamma,1.81673,0.504692,99.5621
17,Scint1,gamma,1.81673,0.504692,99.5621
17,DWC1,gamma,1.81673,0.504692,99.5621
17,DWC2,gamma,1.81673,0.504692,99.5621
17,Scint2,gamma,1.81673,0.504692,99.5621
17,Phantom,gamma,22.5013,0.45379,115.426
17,Scint1,gamma,22.5013,0.45379,115.426
17,DWC1,gamma,22.5013,0.45379,115.426
17,DWC2,gamma,22.5013,0.45379,115.426
17,Scint2,gamma,22.5013,0.45379,115.426
18,Cherenkov,gamma,0.374012,164.121,101.734
18,Collimator,gamma,6.12428,13.0037,153.386
18,Collimator,gamma,2.85079,11.2035,153.916
18,Collimator,gamma,0.653921,5.48589,172.654
18,Collimator,gamma,0.807828,15.9842,150.345
18,Collimator,gamma,1.3517,4.21123,-110.805
18,Collimator,gamma,0.604971,56.2545,31.5758
18,Collimator,gamma,6.06557,2.69027,-104.649
18,Phantom,gamma,6.06557,2.69027,-104.649
18,Scint1,gamma,6.06557,2.69027,-104.649
18,DWC1,gamma,6.06557,2.69027,-104.649
18,DWC2,gamma,6.06557,2.69027,-104.649
18,Collimator,gamma,4.54782,13.5786,-132.75
18,Collimator,gamma,1.40516,3.4333,160.176
18,Phantom,gamma,1.40516,3.4333,160.176
18,Scint1,gamma,1.40516,3.4333,160.176
18,DWC1,gamma,1.40516,3.4333,160.176
18,DWC2,gamma,1.40516,3.4333,160.176
18,Collimator,gamma,2.53718,7.27794,109.549
18,Phantom,gamma,2.53718,7.27794,109.549
18,DWC1,gamma,2.53718,7.27794,109.549
18,Collimator,gamma,85.8349,3.15549,-175.673
18,Phantom,gamma,0.316435,17.9694,27.2579
18,Collimator,gamma,0.18823,138.858,60.7474
18,Collimator,gamma,0.37643,57.6439,-14.3088
18,Collimator,gamma,0.510999,128.228,-34.0416
18,Collimator,gamma,0.510999,60.1767,54.9291
18,Collimator,gamma,0.999813,113.482,11.4813
18,Collimator,gamma,2.01092,23.7103,52.8633
18,Phantom,gamma,1.92353,4.43945,37.2187
18,Scint1,gamma,1.92353,4.43945,37.2187
18,DWC1,gamma,1.92353,4.43945,37.2187
18,DWC2,gamma,1.92353,4.43945,37.2187
18,Collimator,gamma,2.89021,12.94,120.307
18,Collimator,gamma,1.00051,7.56857,168.738
18,Collimator,gamma,0.458143,15.0076,-108.18
18,Collimator,gamma,19.9244,2.55412,170.634
18,Phantom,gamma,19.9244,2.55412,170.634
18,Phantom,gamma,28.8771,2.26087,-132.663
18,Scint1,gamma,28.8771,2.26087,-132.663
18,DWC1,gamma,28.8771,2.26087,-132.663
18,DWC2,gamma,28.8771,2.26087,-132.663
18,Scint2,gamma,28.8771,2.26087,-132.663
18,Phantom,gamma,5.95484,2.13814,-136.776
18,Scint1,gamma,5.95484,2.13814,-136.776
18,DWC1,gamma,5.95484,2.13814,-136.776
18,DWC2,gamma,5.95484,2.13814,-136.776
18,Scint2,gamma,5.95484,2.13814,-136.776
18,Collimator,gamma,0.717431,4.20729,-174.448
18,Collimator,gamma,146.82,4.22808,-56.486
18,Collimator,gamma,0.510999,65.9574,96.7159
18,Collimator,gamma,0.766978,115.834,120.042
18,Collimator,gamma,1.84824,4.00169,-85.1474
