eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
84,Cherenkov,e-,499.95,-0.0120451,0.00728617,-950
84,BremsTarget,e-,499.899,-0.0875202,0.00538005,-754.375
84,Collimator,gamma,64.926,-13.7181,26.9923,-575
84,Collimator,gamma,6.72415,-16.6394,23.8712,-575
84,Collimator,gamma,2.85425,-6.09684,31.365,-575
84,Collimator,gamma,5.00772,-17.4924,22.9759,-575
84,DWC1,gamma,5.00772,-69.4835,92.3113,-50
84,Collimator,gamma,2.55925,-17.3737,27.2706,-575
84,Collimator,gamma,0.720051,-18.6702,26.9876,-575
84,Collimator,gamma,126.731,-11.1046,11.0715,-575
84,Collimator,gamma,0.510999,-2.15649,-9.76471,-556.904
84,Collimator,gamma,2.22005,-14.7479,13.5706,-575
84,Collimator,gamma,0.510999,-45.0152,9.78406,-575
84,Cherenkov,gamma,0.510999,23.9716,-6.71904,-850
84,Collimator,gamma,0.210413,-31.1113,24.8499,-575
84,Collimator,gamma,3.02291,-14.4925,21.1095,-575
84,Collimator,gamma,4.36578,5.76638,8.16999,-538.673
84,Phantom,gamma,4.36578,10.7209,14.8874,-365
84,Scint1,gamma,4.36578,15.3567,21.1726,-202.5
84,DWC1,gamma,4.36578,19.7073,27.071,-50
84,DWC2,gamma,4.36578,26.8393,36.7406,200
84,Phantom,gamma,3.87862,-10.8182,9.79324,-365
84,Scint1,gamma,3.87862,-15.3023,13.9528,-202.5
84,DWC1,gamma,3.87862,-19.5105,17.8564,-50
84,DWC2,gamma,3.87862,-26.4092,24.2557,200
84,Scint2,gamma,3.87862,-37.378,34.4306,597.5
84,Collimator,gamma,3.28413,-8.51588,-35.2105,-575
84,Collimator,gamma,3.38423,-11.3656,-10.8659,-575
84,Collimator,gamma,55.3629,-6.20779,-7.83986,-543.332
84,Collimator,e+,2.44059,9.12211,4.0972,-530.175
84,Collimator,gamma,0.767435,-7.20591,-6.9336,-548.057
84,Collimator,e+,4.48275,1.79779,9.83707,-541.988
84,Collimator,gamma,1.623,-9.06043,-4.23185,-538.75
84,Collimator,gamma,0.956286,-5.46368,8.37545,-555.982
84,Collimator,gamma,0.404285,-6.29199,7.77244,-532.696
84,Collimator,gamma,0.467544,-9.57605,2.88084,-529.224
84,Collimator,gamma,7.83437,-5.65166,-8.24977,-542.135
84,Phantom,gamma,7.83437,-10.3052,-15.1865,-365
84,Scint1,gamma,7.83437,-14.5742,-21.5501,-202.5
84,DWC1,gamma,7.83437,-18.5805,-27.5221,-50
84,DWC2,gamma,7.83437,-25.1483,-37.3123,200
84,Collimator,gamma,0.447436,56.1319,-9.93093,-575
84,Collimator,gamma,6.93516,10.4366,-23.6295,-575
84,Collimator,gamma,0.385585,1.55402,-51.5435,-575
84,Collimator,gamma,1.40738,3.79184,-39.7966,-575
84,Collimator,gamma,0.42746,-9.3574,-38.7739,-575
84,Collimator,gamma,5.3471,-4.96549,-9.75882,-575
84,Collimator,gamma,0.677411,9.96166,0.874803,-565.145
84,Collimator,gamma,0.819902,-3.45109,-9.38563,-545.368
84,Phantom,gamma,29.5908,-15.0433,1.77125,-365
84,Scint1,gamma,29.5908,-21.2956,2.51356,-202.5
84,DWC1,gamma,29.5908,-27.163,3.21019,-50
84,DWC2,gamma,29.5908,-36.7818,4.3522,200
85,Cherenkov,e-,499.971,0.0387589,-0.0157964,-950
85,BremsTarget,e-,499.907,-0.234434,-0.183385,-754.375
85,Collimator,e-,88.017,-1.67729,-38.4922,-575
85,Collimator,gamma,7.37609,18.0273,-27.6336,-575
85,Collimator,gamma,4.43193,22.7384,-25.4814,-575
85,Collimator,gamma,0.474183,14.8866,-21.9068,-575
85,Collimator,gamma,6.43925,16.627,-22.598,-575
85,Phantom,gamma,97.3742,3.48915,2.38038,-365
85,Scint1,gamma,97.3742,4.98729,3.43716,-202.5
85,DWC1,gamma,97.3742,6.39324,4.42892,-50
85,DWC2,gamma,97.3742,8.69808,6.05474,200
85,Scint2,gamma,97.3742,12.3628,8.63981,597.5
85,Phantom,gamma,50.506,2.83468,4.58733,-365
85,Scint1,gamma,50.506,4.05561,6.57894,-202.5
85,DWC1,gamma,50.506,5.20141,8.448,-50
85,DWC2,gamma,50.506,7.07977,11.512,200
