eventID,particle,x_mm,y_mm,z_mm,edep_MeV
58,e-,-20.29,-43.6972,-353.484,0.0610877
58,e-,-38.6072,13.4126,-351.9,0.123086
58,e-,-19.4029,15.2075,-365,1.51632
58,e-,-19.9629,17.6663,-356.904,1.21999
58,e-,-21.2891,20.3783,-350.904,1.1571
58,e-,-21.9937,21.7207,-345.837,0.653171
58,e-,-22.8795,21.7294,-342.214,0.529673
58,e-,-24.438,23.0731,-339.857,0.403326
58,e-,-26.0871,24.2949,-338.492,0.374822
58,e-,-27.013,24.9428,-337.283,0.375793
58,e-,-26.824,24.6961,-336.38,0.130501
58,e-,2.25996,-0.603491,-339.174,0.0562544
58,e-,4.55267,-8.03472,-338.333,0.301174
58,e-,-6.09531,-9.7507,-360.151,0.0256573
58,e-,5.65651,8.87522,-358.18,0.00607574
58,e-,16.5269,1.99829,-358.057,0.0463469
58,e-,6.73388,5.69667,-364.309,0.0324253
59,e-,-21.4263,-23.4534,-354.568,0.455912
59,e-,-21.6789,-23.3796,-352.796,0.308889
59,e-,-21.3302,-22.8236,-352.087,0.20428
,-16.6959,-21.0233,-353.109,1.86813
66,e-,-19.269,-23.6858,-342.856,1.33307
66,e-,-19.2912,-23.9097,-341.748,0.00265681
66,e-,-19.554,-23.9189,-341.831,0.0155954
66,e-,-16.6959,-21.0233,-353.109,0.431636
66,gamma,-17.2577,-21.211,-344.793,0.000288
66,e-,-33.0236,-3.13876,-344.624,0.0281526
66,e-,-17.2577,-21.211,-344.793,0.00166437
66,e-,35.4479,-8.48416,-358.338,0.694636
66,e-,35.2494,-8.52991,-355.8,1.06165
66,e-,34.663,-9.68627,-349.093,0.949666
66,e-,32.8251,-10.65,-343.903,0.946235
66,e-,30.004,-9.35222,-340.687,0.565839
66,e-,27.0055,-8.52117,-339.482,0.540296
66,e-,25.2348,-7.11604,-338.124,0.430818
66,e-,24.4543,-6.9015,-336.686,0.29537
66,e-,23.9734,-6.95153,-336.03,0.152223
.116,0.0261333
31,e-,-21.0805,-6.77266,-335.111,0.0167069
31,e-,-21.136,-6.80389,-335.125,0.0311795
31,e-,-21.2053,-6.83964,-335.159,0.0266841
31,e-,-21.257,-6.90374,-335.183,0.126078
31,e-,-17.6442,-1.68468,-343.161,0.19088
