eventID,volume,energy_MeV,x_mm,y_mm,z_mm
16,Collimator,17.2982,19.3836,4.95708,-575
16,Collimator,3.62275,4.73137,-8.80989,-559.415
16,Collimator,2.31963,25.84,5.8557,-575
16,Collimator,2.21928,32.3351,3.21986,-575
16,Phantom,5.49334,-0.143576,-10.8181,-365
16,Scint1,5.49334,-0.323561,-15.2694,-202.5
16,DWC1,5.49334,-0.49247,-19.4468,-50
16,DWC2,5.49334,-0.769371,-26.2949,200
16,Scint2,5.49334,-1.20964,-37.1835,597.5
16,Phantom,67.2705,5.07412,-5.52745,-365
16,Scint1,67.2705,7.04164,-7.76216,-202.5
16,DWC1,67.2705,8.88808,-9.85935,-50
16,DWC2,67.2705,11.915,-13.2974,200
16,Scint2,67.2705,16.7279,-18.7638,597.5
16,Collimator,0.985932,-30.4508,30.8921,-575
16,Collimator,6.08004,21.6767,34.6116,-575
16,Collimator,4.86797,-1.28738,15.7041,-575
16,Collimator,0.430127,-5.64114,14.6787,-575
16,Phantom,0.361518,1.17066,-9.25668,-365
16,Scint1,0.361518,1.48903,-13.1197,-202.5
16,DWC1,0.361518,1.78782,-16.745,-50
16,DWC2,0.361518,2.27762,-22.6881,200
16,Scint2,0.361518,3.05642,-32.1377,597.5
16,Collimator,262.895,9.50695,-3.10127,-547.458
16,Phantom,16.281,15.7163,-41.3897,-365
16,Phantom,4.84405,17.9614,-21.5566,-365
16,Scint1,4.84405,25.496,-38.3846,-202.5
16,DWC1,4.84405,32.5669,-54.1771,-50
16,DWC2,4.84405,44.1586,-80.0664,200
16,Phantom,1.99703,24.9637,-2.59471,-365
16,Scint1,1.99703,38.9202,-2.14003,-202.5
16,Collimator,0.193726,-0.554289,9.98463,-561.709
16,Phantom,38.6303,4.59285,-0.777822,-365
16,Scint1,38.6303,0.100596,1.33862,-202.5
16,DWC1,38.6303,-4.11521,3.32482,-50
16,DWC2,38.6303,-11.0264,6.58089,200
16,Scint2,38.6303,-22.0151,11.758,597.5
16,Collimator,0.231275,-9.71023,-2.38987,-537.126
16,Collimator,1.19858,8.63906,5.03652,-526.131
16,Phantom,3.2356,15.7211,-5.73148,-365
16,Scint1,3.2356,21.2573,-8.0817,-202.5
16,DWC1,3.2356,26.4528,-10.2873,-50
16,DWC2,3.2356,34.97,-13.903,200
16,Scint2,3.2356,48.5124,-19.652,597.5
16,Collimator,1.36801,0.954433,-9.95435,-532.486
16,Phantom,0.395503,-12.5727,39.8606,-365
16,Phantom,1.74483,-42.1707,28.4364,-365
16,Collimator,0.260654,-9.80517,1.96433,-544.167
16,Phantom,16.4526,-1.26923,6.87297,-365
16,Scint1,16.4526,-10.9704,15.8253,-202.5
16,DWC1,16.4526,-20.0746,24.2268,-50
16,DWC2,16.4526,-34.9994,37.9997,200
16,Collimator,0.510999,48.2107,-33.2924,-575
16,Collimator,3.58092,11.6453,-57.7722,-575
16,Collimator,3.58865,35.6906,-13.3896,-575
17,Collimator,30.0259,9.90389,-9.13166,-575
17,Collimator,27.9392,30.142,23.2183,-575
17,Collimator,4.11962,27.7953,19.7665,-575
17,Collimator,4.74362,22.9896,21.193,-575
17,Collimator,59.4546,13.8326,7.49364,-575
17,Collimator,0.836722,-4.32943,-9.01421,-550.671
17,Collimator,1.73734,-0.592288,9.98244,-545.94
17,Collimator,10.1268,-4.70534,8.82382,-531.819
17,Phantom,1.06195,8.50918,-1.69648,-365
17,Scint1,1.0216,-26.3379,-13.1391,-202.5
17,DWC1,1.0216,-62.3421,-24.1866,-50
17,Phantom,2.25139,-13.0595,49.4114,-365
17,Collimator,2.83471,13.2002,34.2854,-575
17,Collimator,0.850117,26.7981,-26.401,-575
17,Collimator,5.49973,9.40329,-3.40266,-533.651
