eventID,volume,particle,edep_MeV
88,BremsTarget,e-,1.46803
88,BremsTarget,e-,2.05876
88,BremsTarget,e-,0.905902
88,BremsTarget,e-,0.592257
88,BremsTarget,e-,1.16489
88,BremsTarget,e-,0.465369
88,BremsTarget,e-,1.64571
88,BremsTarget,e-,0.571868
88,BremsTarget,e-,0.0488054
88,BremsTarget,e-,0.44787
88,BremsTarget,e-,0.400501
88,BremsTarget,e-,1.05176
88,BremsTarget,e-,0.889121
88,BremsTarget,e-,0.527517
88,BremsTarget,e-,2.02243
88,BremsTarget,e-,0.729041
88,BremsTarget,e-,1.99022
88,BremsTarget,e-,1.1634
88,BremsTarget,e-,0.648704
88,BremsTarget,e-,1.28077
88,BremsTarget,e-,0.344433
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.0371414
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.283959
88,BremsTarget,e-,2.06246
88,BremsTarget,e-,0.451356
88,BremsTarget,e+,0.541549
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.413513
88,BremsTarget,e-,0.027957
88,BremsTarget,e-,0.104413
88,BremsTarget,e-,0.130692
88,BremsTarget,e-,2.4752
88,BremsTarget,e-,0.305299
88,BremsTarget,gamma,0.012103
88,BremsTarget,e-,0.239322
88,BremsTarget,e-,0.0774925
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.222654
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.34996
88,BremsTarget,e+,2.97931
88,BremsTarget,e+,0.377077
88,BremsTarget,e-,1.37143
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.096469
88,BremsTarget,e+,0.0594961
88,BremsTarget,e+,1.10752
88,BremsTarget,e+,0.148908
88,BremsTarget,e+,1.3182
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.115099
88,BremsTarget,e-,0.310397
88,BremsTarget,e-,0.772576
88,BremsTarget,e-,0.833094
88,BremsTarget,e-,1.25238
88,BremsTarget,e-,0.150181
88,BremsTarget,e-,0.403292
88,BremsTarget,e-,1.3457
88,BremsTarget,e-,1.33722
88,BremsTarget,gamma,0.011546
88,BremsTarget,e-,0.319193
88,BremsTarget,e-,0.0135575
88,BremsTarget,e-,0.0759904
88,BremsTarget,e-,1.26483
88,BremsTarget,e+,0.277704
88,BremsTarget,e+,0.649298
88,BremsTarget,e+,0.586697
88,BremsTarget,e+,0.445663
88,BremsTarget,e+,0.152056
88,BremsTarget,e+,0.295278
88,BremsTarget,e+,1.36816
88,BremsTarget,e+,0.187227
88,BremsTarget,e+,0.219144
88,BremsTarget,e+,0.180374
88,BremsTarget,e+,0.388614
88,BremsTarget,e+,0.0387784
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.374921
88,BremsTarget,e-,0.0665487
88,BremsTarget,gamma,0.069529
88,BremsTarget,e-,0.0362166
88,BremsTarget,e-,0.0538751
88,BremsTarget,e-,0.755311
88,BremsTarget,e-,0.653599
88,BremsTarget,e-,0.0282847
89,BremsTarget,e-,0.0885107
