eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
80,Cherenkov,e-,499.969,-0.106301,-0.0045729,-950,Transportation,World
80,BremsTarget,e-,499.887,-0.219805,-0.0918376,-754.375,Transportation,World
80,Collimator,gamma,3.21121,53.1475,45.8069,-575,Transportation,World
80,Collimator,gamma,1.08604,-22.5355,18.7838,-575,Transportation,World
80,Collimator,gamma,0.979579,-16.1559,7.63295,-575,Transportation,World
80,Collimator,gamma,1.96102,-4.90637,11.8418,-575,Transportation,World
80,Collimator,gamma,10.9737,-20.1491,12.0189,-575,Transportation,World
80,Phantom,gamma,10.9737,-43.9301,26.503,-365,Transportation,World
80,DWC1,gamma,10.9737,-79.6016,48.2292,-50,Transportation,World
80,Collimator,gamma,1.15421,-20.0642,14.0095,-575,Transportation,World
80,Cherenkov,gamma,0.328339,-23.0515,22.5336,-850,Transportation,World
80,Cherenkov,gamma,0.489283,-6.57878,42.7753,-850,Transportation,World
80,Collimator,gamma,1.13857,-13.4095,-1.51335,-575,Transportation,World
80,Collimator,gamma,0.583526,9.10347,4.13845,-534.098,Transportation,World
80,Collimator,gamma,2.75463,-9.715,-2.37039,-552.898,Transportation,World
80,Cherenkov,gamma,0.293933,19.1636,9.66874,-850,Transportation,World
80,Collimator,e+,151.472,6.83333,-7.30107,-541.941,Transportation,World
80,Phantom,gamma,23.7299,-32.297,12.2351,-365,Transportation,World
80,Collimator,gamma,0.510999,4.58289,8.88803,-525.754,Transportation,World
80,Collimator,gamma,0.279854,-4.84287,8.74909,-535.503,Transportation,World
80,Phantom,gamma,24.2896,14.1381,-21.106,-365,Transportation,World
80,Scint1,gamma,24.2896,20.8052,-34.1688,-202.5,Transportation,World
80,DWC1,gamma,24.2896,27.062,-46.4276,-50,Transportation,World
80,DWC2,gamma,24.2896,37.3191,-66.5242,200,Transportation,World
80,Collimator,e-,3.72709,-7.3869,6.74045,-547.649,Transportation,World
80,Collimator,e-,0.593748,-1.07723,-9.94181,-537.949,Transportation,World
80,Collimator,e-,0.554558,-9.93212,-1.16316,-534.96,Transportation,World
80,Phantom,gamma,20.2106,9.45857,-10.5764,-365,Transportation,World
80,Scint1,gamma,20.2106,11.8605,-13.5913,-202.5,Transportation,World
80,DWC1,gamma,20.2106,14.1147,-16.4205,-50,Transportation,World
80,DWC2,gamma,20.2106,17.81,-21.0587,200,Transportation,World
80,Scint2,gamma,20.2106,23.6856,-28.4334,597.5,Transportation,World
80,Phantom,gamma,44.9238,0.219311,1.0243,-365,Transportation,World
80,Scint1,gamma,44.9238,0.398619,1.48024,-202.5,Transportation,World
80,DWC1,gamma,44.9238,0.566892,1.90811,-50,Transportation,World
80,DWC2,gamma,44.9238,0.84275,2.60955,200,Transportation,World
80,Scint2,gamma,44.9238,1.28136,3.72484,597.5,Transportation,World
80,Phantom,gamma,17.27,1.86774,-1.33078,-365,Transportation,World
80,Scint1,gamma,17.27,2.74943,-1.87859,-202.5,Transportation,World
80,DWC1,gamma,17.27,3.57686,-2.39268,-50,Transportation,World
80,DWC2,gamma,17.27,4.9333,-3.23546,200,Transportation,World
80,Scint2,gamma,17.27,7.09004,-4.57549,597.5,Transportation,World
80,Phantom,gamma,0.195376,1.1648,-1.79463,-365,Transportation,World
80,Phantom,gamma,2.10293,-0.849496,0.185166,-365,Transportation,World
80,Scint1,gamma,2.10293,-1.1255,0.283266,-202.5,Transportation,World
80,DWC1,gamma,2.10293,-1.38451,0.375328,-50,Transportation,World
80,DWC2,gamma,2.10293,-1.80913,0.526251,200,Transportation,World
80,Scint2,gamma,2.10293,-2.48427,0.766217,597.5,Transportation,World
80,Phantom,gamma,1.55277,2.98592,5.97195,-365,Transportation,World
80,Scint1,gamma,1.55277,4.34295,8.53354,-202.5,Transportation,World
