eventID,volume,particle,energy_MeV,theta_deg,phi_deg
36,Collimator,gamma,0.298031,17.4516,51.9878
36,Collimator,gamma,1.07394,13.0986,1.16746
36,Collimator,gamma,220.44,3.36098,-131.996
36,Collimator,gamma,0.510999,38.351,29.975
36,Collimator,gamma,0.31798,74.7457,1.02936
36,Collimator,gamma,0.510999,57.9013,-0.334032
36,Collimator,gamma,0.7418,45.0735,115.706
36,Phantom,gamma,0.412184,18.588,30.5256
36,Phantom,gamma,0.709904,14.4009,36.9404
36,DWC1,gamma,0.709904,14.4009,36.9404
36,Collimator,gamma,0.429861,33.4652,56.342
36,Phantom,gamma,0.376766,16.3171,-21.7926
36,Phantom,gamma,1.72893,12.2033,3.3992
36,Collimator,gamma,0.561208,65.2203,8.83631
36,Phantom,gamma,0.741132,7.56543,99.5352
36,Scint1,gamma,0.741132,7.56543,99.5352
36,DWC1,gamma,0.741132,7.56543,99.5352
36,DWC2,gamma,0.741132,7.56543,99.5352
36,Phantom,gamma,2.47233,8.30471,84.7094
36,Scint1,gamma,2.47233,8.30471,84.7094
36,DWC1,gamma,2.47233,8.30471,84.7094
36,Phantom,gamma,2.66578,9.67376,74.677
36,DWC1,gamma,2.66578,9.67376,74.677
36,Phantom,gamma,5.20408,13.0924,64.5787
36,Phantom,gamma,0.882778,8.10643,103.957
36,Phantom,gamma,3.09599,1.24225,-106.193
36,Scint1,gamma,3.09599,1.24225,-106.193
36,DWC1,gamma,3.09599,1.24225,-106.193
36,DWC2,gamma,3.09599,1.24225,-106.193
36,Scint2,gamma,3.09599,1.24225,-106.193
36,Phantom,gamma,0.478206,0.208929,-2.03667
36,Scint1,gamma,0.478206,0.208929,-2.03667
36,DWC1,gamma,0.478206,0.208929,-2.03667
36,DWC2,gamma,0.478206,0.208929,-2.03667
36,Scint2,gamma,0.478206,0.208929,-2.03667
36,Collimator,gamma,19.836,9.11487,-57.2584
36,Collimator,gamma,1.28586,15.9424,-15.8309
36,Collimator,gamma,1.04717,10.5296,-14.6228
36,Collimator,gamma,76.5492,6.69471,-59.3803
36,Collimator,gamma,0.578471,5.68542,-59.7183
36,Collimator,gamma,6.06073,4.99921,-147.266
36,Phantom,gamma,6.06073,4.99921,-147.266
36,Scint1,gamma,3.61182,15.1598,67.6111
36,DWC1,gamma,3.61182,15.1598,67.6111
36,Phantom,gamma,12.0837,1.14078,160.148
36,Scint1,gamma,12.0837,1.14078,160.148
36,DWC1,gamma,12.0837,1.14078,160.148
36,DWC2,gamma,12.0837,1.14078,160.148
36,Scint2,gamma,12.0837,1.14078,160.148
36,Phantom,gamma,0.812677,1.20836,-16.311
36,Scint1,gamma,0.812677,1.20836,-16.311
36,DWC1,gamma,0.812677,1.20836,-16.311
36,DWC2,gamma,0.812677,1.20836,-16.311
36,Scint2,gamma,0.812677,1.20836,-16.311
36,Phantom,gamma,0.542852,0.57032,-8.2966
36,Scint1,gamma,0.542852,0.57032,-8.2966
36,DWC1,gamma,0.542852,0.57032,-8.2966
36,DWC2,gamma,0.542852,0.57032,-8.2966
36,Scint2,gamma,0.542852,0.57032,-8.2966
36,Phantom,gamma,1.33981,0.934706,-2.74196
36,Scint1,gamma,1.33981,0.934706,-2.74196
36,DWC1,gamma,1.33981,0.934706,-2.74196
36,DWC2,gamma,1.33981,0.934706,-2.74196
36,Scint2,gamma,1.33981,0.934706,-2.74196
36,Collimator,gamma,1.37708,26.0252,109.489
36,Collimator,gamma,0.512558,79.8376,98.9033
36,Collimator,gamma,0.510999,82.1075,-124.815
36,Collimator,gamma,0.224664,66.7889,-13.6543
36,Collimator,gamma,1.22037,77.8277,121.402
36,Collimator,gamma,0.429989,13.0604,74.7175
36,Collimator,gamma,12.7755,12.9754,6.64921
36,Collimator,gamma,4.16356,11.2601,-18.6318
36,Collimator,gamma,5.02721,11.2824,120.795
36,Collimator,gamma,0.0061604,3.85661,-44.9049
36,Collimator,gamma,4.02357,15.2303,24.8241
36,Collimator,gamma,1.89207,11.8028,41.2409
36,Collimator,gamma,5.28865,3.21774,-179.41
36,Phantom,gamma,5.28865,3.21774,-179.41
36,Scint1,gamma,5.28865,3.21774,-179.41
36,DWC1,gamma,5.28865,3.21774,-179.41
36,DWC2,gamma,5.28865,3.21774,-179.41
36,Collimator,gamma,1.80192,17.5556,-17.5746
36,Collimator,gamma,11.5448,6.33072,-48.8931
36,Collimator,gamma,14.5518,14.7384,-48.6738
36,Collimator,gamma,2.57454,5.34386,-79.6613
36,Collimator,gamma,0.328038,11.5265,-82.7075
36,Collimator,gamma,2.29436,17.4567,-87.4594
36,Collimator,gamma,4.05519,15.5153,78.8014
36,Collimator,gamma,0.960778,8.91259,-24.6389
36,Collimator,gamma,0.909039,13.2858,-23.8063
36,Collimator,gamma,0.736099,8.91207,-179.787
36,Phantom,gamma,73.9835,0.338861,-42.2175
36,Scint1,gamma,73.9835,0.338861,-42.2175
36,DWC1,gamma,73.9835,0.338861,-42.2175
36,DWC2,gamma,73.9835,0.338861,-42.2175
36,Scint2,gamma,73.9835,0.338861,-42.2175
36,Collimator,gamma,13.6307,10.2403,-7.11752
37,Collimator,gamma,23.246,15.9377,-105.419
37,Collimator,gamma,1.20852,5.17926,-154.133
37,Phantom,gamma,0.928637,0.717005,153.271
37,Collimator,gamma,1.60893,14.004,37.5851
37,Collimator,gamma,0.203946,23.552,50.6001
37,Collimator,gamma,0.766397,3.43131,-53.2275
37,Scint1,gamma,0.261016,1.18247,15.3881
37,DWC1,gamma,0.261016,1.18247,15.3881
37,DWC2,gamma,0.261016,1.18247,15.3881
37,Scint2,gamma,0.261016,1.18247,15.3881
37,Phantom,gamma,7.1994,2.08638,20.3497
37,Scint1,gamma,7.1994,2.08638,20.3497
37,DWC1,gamma,7.1994,2.08638,20.3497
37,DWC2,gamma,7.1994,2.08638,20.3497
37,Scint2,gamma,7.1994,2.08638,20.3497
37,Phantom,gamma,0.749189,1.84019,108.37
37,Scint1,gamma,0.749189,1.84019,108.37
37,DWC1,gamma,0.749189,1.84019,108.37
37,DWC2,gamma,0.749189,1.84019,108.37
37,Scint2,gamma,0.749189,1.84019,108.37
37,Collimator,gamma,0.70171,3.22447,53.7339
37,Collimator,gamma,0.319615,4.49081,38.3333
37,Collimator,gamma,16.6144,4.55685,39.3055
37,Collimator,gamma,0.722359,102.674,-131.788
37,Phantom,gamma,1.5968,19.7244,145.154
37,Collimator,gamma,9.35556,4.48056,16.1711
37,Cherenkov,gamma,0.393425,156.292,14.9206
37,Collimator,gamma,0.982088,8.08612,-77.976
37,Collimator,gamma,0.313776,18.7263,-111.697
37,Phantom,gamma,442.939,0.741427,59.4796
37,Scint1,gamma,442.939,0.741427,59.4796
37,DWC1,gamma,442.939,0.741427,59.4796
37,DWC2,gamma,442.939,0.741427,59.4796
37,Scint2,gamma,442.939,0.741427,59.4796
37,Phantom,gamma,3.93106,0.928259,33.2945
37,Scint1,gamma,3.93106,0.928259,33.2945
37,DWC1,gamma,3.93106,0.928259,33.2945
37,DWC2,gamma,3.93106,0.928259,33.2945
37,Scint2,gamma,3.93106,0.928259,33.2945
37,Phantom,gamma,3.15393,0.927305,28.1147
37,Scint1,gamma,3.15393,0.927305,28.1147
37,DWC1,gamma,3.15393,0.927305,28.1147
37,DWC2,gamma,3.15393,0.927305,28.1147
37,Scint2,gamma,3.15393,0.927305,28.1147
37,Collimator,gamma,6.04327,7.25386,-45.2553
37,Cherenkov,gamma,0.510999,169.972,133.39
37,Collimator,gamma,1.26075,19.0266,-83.766
37,Collimator,gamma,18.896,4.75181,147.453
37,Collimator,gamma,9.23738,64.3275,-34.6822
37,Collimator,gamma,1.31386,15.9129,33.5539
37,Collimator,gamma,20.9119,3.72909,83.9441
37,Collimator,gamma,9.37262,11.4153,-111.954
37,Collimator,gamma,0.81826,7.58333,101.146
37,Collimator,gamma,10.5343,14.6292,8.06568
37,Collimator,gamma,9.59718,2.54579,38.536
37,Phantom,gamma,9.59718,2.54579,38.536
37,Scint1,gamma,9.59718,2.54579,38.536
37,DWC1,gamma,9.59718,2.54579,38.536
37,DWC2,gamma,9.59718,2.54579,38.536
37,Scint2,gamma,9.59718,2.54579,38.536
38,Collimator,gamma,1.27193,16.1275,-30.6682
38,Collimator,gamma,0.594803,10.8473,-44.0566
38,Collimator,gamma,13.0374,11.2737,-54.9692
38,Collimator,gamma,3.26214,12.0198,-49.426
38,Collimator,gamma,44.7052,4.00045,129.758
38,Collimator,gamma,0.521871,107.166,-28.4676
38,Collimator,gamma,0.510999,98.4178,-93.3269
38,Phantom,gamma,8.07347,13.1337,-83.6843
38,Phantom,gamma,2.50239,0.805345,0.0477116
38,Scint1,gamma,2.50239,0.805345,0.0477116
38,DWC1,gamma,2.50239,0.805345,0.0477116
38,DWC2,gamma,2.50239,0.805345,0.0477116
38,Scint2,gamma,2.50239,0.805345,0.0477116
38,Collimator,gamma,38.8413,3.79742,161.709
38,Collimator,gamma,0.510999,83.3896,-64.6468
38,Phantom,gamma,3.78725,0.788673,167.625
38,Scint1,gamma,3.78725,0.788673,167.625
38,DWC1,gamma,3.78725,0.788673,167.625
38,DWC2,gamma,3.78725,0.788673,167.625
38,Scint2,gamma,3.78725,0.788673,167.625
38,Collimator,gamma,2.81155,9.38024,32.7254
38,Collimator,gamma,1.82106,10.0858,21.5042
38,Collimator,gamma,2.71363,9.08619,-137.788
38,Phantom,gamma,2.71363,9.08619,-137.788
38,DWC1,gamma,2.71363,9.08619,-137.788
38,Phantom,gamma,0.854235,1.74247,-145.327
38,Scint1,gamma,0.854235,1.74247,-145.327
38,DWC1,gamma,0.854235,1.74247,-145.327
38,DWC2,gamma,0.854235,1.74247,-145.327
38,Scint2,gamma,0.854235,1.74247,-145.327
38,Phantom,gamma,137.638,1.81003,-127.595
38,Scint1,gamma,137.638,1.81003,-127.595
38,DWC1,gamma,137.638,1.81003,-127.595
38,DWC2,gamma,137.638,1.81003,-127.595
38,Scint2,gamma,137.638,1.81003,-127.595
38,Cherenkov,gamma,0.387465,161.464,10.5007
38,Phantom,gamm,1.78064,-65.2782
94,DWC1,gamma,7.76251,1.78064,-65.2782
94,DWC2,gamma,7.76251,1.78064,-65.2782
94,Scint2,gamma,7.76251,1.78064,-65.2782
94,Collimator,gamma,17.6928,3.3558,64.0866
94,Collimator,gamma,0.488718,16.9972,-164.994
94,Collimator,gamma,2.82066,9.26575,5.80287
94,Collimator,gamma,1.14295,7.483,-6.57663
94,Collimator,gamma,4.62625,6.22146,8.4045
94,Phantom,gamma,18.4067,2.22062,-110.015
94,Scint1,gamma,18.4067,2.22062,-110.015
94,DWC1,gamma,18.4067,2.22062,-110.015
94,DWC2,gamma,18.4067,2.22062,-110.015
94,Scint2,gamma,18.4067,2.22062,-110.015
94,Collimator,gamma,0.448734,12.6728,19.42
94,Collimator,gamma,1.20234,7.59727,9.86262
94,Collimator,gamma,30.2298,3.8563,-4.70835
94,Collimator,gamma,0.510999,10.9275,120.461
94,Collimator,gamma,5.62966,3.77195,-4.12847
94,Collimator,gamma,2.65898,3.9418,10.378
94,Collimator,gamma,0.583847,76.2089,-171.666
94,Collimator,gamma,6.13571,4.30566,-3.54269
94,Collimator,gamma,29.2342,12.6058,-72.1042
94,Phantom,gamma,1.90046,2.30516,-43.1144
94,Scint1,gamma,1.90046,2.30516,-43.1144
94,DWC1,gamma,1.90046,2.30516,-43.1144
94,DWC2,gamma,1.90046,2.30516,-43.1144
94,Scint2,gamma,1.90046,2.30516,-43.1144
94,Phantom,gamma,1.00483,1.38762,-57.2946
94,Scint1,gamma,1.00483,1.38762,-57.2946
94,DWC1,gamma,1.00483,1.38762,-57.2946
94,DWC2,gamma,1.00483,1.38762,-57.2946
94,Scint2,gamma,1.00483,1.38762,-57.2946
94,Phantom,gamma,6.40303,1.03736,94.6032
94,Scint1,gamma,6.40303,1.03736,94.6032
94,DWC1,gamma,6.40303,1.03736,94.6032
94,DWC2,gamma,6.40303,1.03736,94.6032
94,Scint2,gamma,6.40303,1.03736,94.6032
94,Phantom,gamma,7.45678,1.50586,123.246
94,Scint1,gamma,7.45678,1.50586,123.246
94,DWC1,gamma,7.45678,1.50586,123.246
94,DWC2,gamma,7.45678,1.50586,123.246
94,Scint2,gamma,7.45678,1.50586,123.246
94,Collimator,gamma,3.13852,22.1588,-137.526
94,Phantom,gamma,1.84135,1.45186,81.9858
94,Scint1,gamma,1.84135,1.45186,81.9858
94,DWC1,gamma,1.84135,1.45186,81.9858
94,DWC2,gamma,1.84135,1.45186,81.9858
94,Scint2,gamma,1.84135,1.45186,81.9858
94,Phantom,gamma,3.64276,0.663844,55.0787
94,Scint1,gamma,3.64276,0.663844,55.0787
94,DWC1,gamma,3.64276,0.663844,55.0787
94,DWC2,gamma,3.64276,0.663844,55.0787
94,Scint2,gamma,3.64276,0.663844,55.0787
94,Collimator,gamma,1.57685,15.585,-78.311
94,Collimator,gamma,1.73808,16.6488,-131.193
94,Collimator,gamma,0.869604,15.1805,-140.133
94,Collimator,gamma,2.79249,8.11661,-92.6952
94,Phantom,gamma,2.23485,11.9011,147.747
