eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
64,Cherenkov,e-,999.983,0.010288,0.0504501,-950
64,BremsTarget,e-,999.893,0.0272848,0.054818,-754.375
64,Collimator,gamma,10.0384,5.49139,29.5701,-575
64,Collimator,gamma,8.46436,26.252,-8.71618,-575
64,Collimator,gamma,62.4314,39.064,0.858139,-575
64,Phantom,gamma,0.611107,15.1461,-5.89793,-365
64,Collimator,gamma,1.25817,-7.73305,8.90344,-575
64,Phantom,gamma,1.25817,-16.9094,19.3952,-365
64,Scint1,gamma,1.25817,-24.0101,27.5139,-202.5
64,DWC1,gamma,1.25817,-30.6739,35.1329,-50
64,DWC2,gamma,1.25817,-41.5981,47.6232,200
64,Collimator,e-,37.7187,-42.2237,29.2075,-575
64,Collimator,gamma,0.15624,-26.7366,25.3421,-575
64,Collimator,gamma,0.229973,-30.2229,32.1237,-575
64,DWC1,e-,0.261319,-35.9524,83.9105,-50
64,Collimator,gamma,0.313701,-40.7395,8.14505,-575
64,Collimator,gamma,11.9965,-10.6574,21.4904,-575
64,Collimator,gamma,0.307747,47.8987,10.7593,-575
64,Collimator,gamma,0.611287,-51.1606,-21.9042,-575
64,Collimator,e-,28.2654,37.5225,-5.75189,-575
64,Collimator,gamma,65.6314,8.27605,-5.61312,-546.599
64,Phantom,e+,29.2509,-11.2365,46.6118,-365
64,Phantom,gamma,3.88339,1.51153,46.8666,-365
64,Phantom,gamma,5.64907,24.185,47.9916,-365
64,Collimator,gamma,0.141112,-8.78388,-4.77947,-540.351
64,Collimator,e-,1.69137,8.70117,-4.92845,-536.477
64,Collimator,e-,1.21759,-9.92602,-1.21416,-527.58
64,Collimator,gamma,1.57638,-7.47301,6.64485,-554.315
64,Collimator,gamma,72.3556,5.85252,-8.10852,-543.046
64,Collimator,e+,2.74403,1.08685,9.94076,-526.164
64,Phantom,gamma,0.214159,23.0809,27.9329,-365
64,DWC1,gamma,0.214159,53.5035,91.9531,-50
64,Collimator,e-,4.40842,-3.31775,-9.43359,-535.009
64,Phantom,gamma,1.05913,12.0576,0.252827,-365
64,Scint1,gamma,1.05913,17.7323,7.9288,-202.5
64,DWC1,gamma,1.05913,23.0578,15.1324,-50
64,DWC2,gamma,1.05913,31.7882,26.9416,200
64,Scint2,gamma,1.05913,45.6695,45.7182,597.5
64,Phantom,gamma,2.56944,6.92253,0.549583,-365
64,Scint1,gamma,2.56944,9.81647,0.765526,-202.5
64,DWC1,gamma,2.56944,12.5323,0.968181,-50
64,DWC2,gamma,2.56944,16.9845,1.3004,200
64,Scint2,gamma,2.56944,24.0635,1.82863,597.5
64,Collimator,e+,257.171,-13.595,5.82784,-575
64,Collimator,e+,5.33392,9.08301,-4.18317,-552.784
64,Collimator,gamma,0.510999,-7.8732,-6.16544,-560.867
64,Collimator,gamma,0.128464,9.98208,-0.598433,-552.681
64,Collimator,gamma,0.798578,4.80962,8.76741,-562.986
64,Collimator,gamma,1.09339,7.91683,-6.10932,-540.933
64,Collimator,gamma,0.510999,9.66593,-2.56316,-559.014
64,Collimator,gamma,0.471634,7.85961,-6.18276,-574.308
64,Phantom,gamma,1.63717,-39.8996,24.7987,-365
64,DWC1,gamma,1.63717,-77.4379,54.3066,-50
64,Collimator,gamma,0.466601,5.22259,-8.52787,-551.849
64,Phantom,gamma,11.4716,-29.0422,44.4697,-365
64,Phantom,gamma,4.04838,-22.4046,44.1394,-365
64,Collimator,gamma,0.27309,9.9832,0.579435,-553.473
64,Phantom,gamma,2.5998,-43.8011,26.0289,-365
64,DWC1,gamma,2.5998,-89.403,57.6654,-50
64,Collimator,gamma,0.617656,8.83844,4.67781,-531.722
64,Collimator,gamma,0.306579,-8.99094,4.37755,-573.887
64,Collimator,gamma,2.97794,-9.15641,4.21677,-575
64,Phantom,gamma,2.61323,-4.94577,3.5873,-365
64,Scint1,gamma,2.61323,-7.0454,5.09132,-202.5
64,DWC1,gamma,2.61323,-9.01582,6.50279,-50
64,DWC2,gamma,2.61323,-12.246,8.81668,200
64,Scint2,gamma,2.61323,-17.382,12.4957,597.5
64,Phantom,gamma,2.25723,-1.09006,0.466167,-365
64,Scint1,gamma,2.25723,-1.55335,0.646019,-202.5
64,DWC1,gamma,2.25723,-1.98813,0.814803,-50
64,DWC2,gamma,2.25723,-2.70089,1.0915,200
64,Scint2,gamma,2.25723,-3.83418,1.53144,597.5
64,Phantom,gamma,108.443,-4.88519,-1.61846,-365
64,Scint1,gamma,108.443,-6.95704,-2.32108,-202.5
64,DWC1,gamma,108.443,-8.9014,-2.98046,-50
64,DWC2,gamma,108.443,-12.0889,-4.06142,200
64,Scint2,gamma,108.443,-17.1569,-5.78014,597.5
64,Phantom,e-,26.2214,-9.64739,-0.072349,-365
64,Scint1,e-,20.7771,-31.545,16.5879,-202.5
64,DWC1,e-,19.9939,-55.9497,37.3378,-50
64,DWC2,e-,19.9015,-91.7138,76.89,200
64,Scint1,gamma,0.397626,-28.0363,19.5381,-202.5
64,DWC1,gamma,0.397626,-48.004,40.6636,-50
64,DWC2,gamma,0.397626,-80.738,75.2956,200
64,DWC1,e-,0.19636,100,39.0126,37.1353
64,DWC1,e-,0.151843,72.8835,100,89.1843
64,Collimator,gamma,36.1876,-6.65169,20.2573,-575
65,Cherenkov,e-,999.943,-0.0197259,0.00831211,-950
65,BremsTarget,e-,999.885,-0.0571276,-0.0333317,-754.375
65,Phantom,gamma,0.96772,-1.84628,13.9249,-365
