eventID,particle,x_mm,y_mm,z_mm,edep_MeV
32,e+,18.4402,18.7355,-365,0.226072
32,e+,18.7636,18.9343,-363.682,1.09937
32,e+,19.6156,21.4677,-357.305,0.87607
32,e+,19.8979,19.6071,-352.381,0.707799
32,e+,20.3619,18.6633,-348.476,0.528813
32,e+,20.6358,18.1515,-345.354,0.633246
32,e+,20.079,17.9667,-342.924,0.456632
32,e+,20.6469,18.1175,-341.452,0.330948
32,e+,20.1097,17.8392,-341.303,0.0388915
32,e-,19.6156,21.4677,-357.305,0.36823
32,e-,19.0444,21.7957,-356.632,0.13204
32,e-,18.7636,18.9343,-363.682,0.134145
32,e-,18.3875,18.4219,-363.261,0.384841
32,e-,8.58657,0.802458,-349.345,0.278801
32,e-,8.30342,1.13458,-348.466,0.240871
33,e-,-26.0573,-18.3257,-365,0.0245452
33,e-,-26.0972,-18.2637,-364.857,0.0411528
33,e-,-26.1715,-18.2184,-364.726,0.0286539
33,e-,-26.2492,-18.1584,-364.606,0.0350888
33,e-,-26.363,-18.0774,-364.441,0.0786743
33,e-,-26.5256,-18.0177,-364.21,0.101765
33,e-,-26.8949,-18.0488,-363.954,0.257969
35,e+,8.89008,8.51448,-365,1.68641
35,e+,9.15986,8.72648,-355.766,3.33377
35,e-,9.29706,8.83927,-350.323,0.620908
35,e-,9.18245,8.70309,-346.665,0.589234
35,e-,10.0809,8.36132,-343.93,0.424368
35,e-,10.6893,8.82421,-341.945,0.32805
35,e-,10.213,9.5538,-340.744,0.385329
35,e-,10.5649,8.95815,-341.184,0.0641848
35,e-,-6.22865,5.69447,-365,0.718473
35,e-,-6.30663,5.76046,-360.597,2.28813
35,e-,-6.52998,5.9563,-347.814,2.29722
96,e-,-37.4633,20.0959,-360.667,0.382043
96,e-,-38.8863,21.6903,-359.653,0.36769
96,e-,-39.9784,22.9687,-358.623,0.357318
96,e-,-39.6081,24.2813,-358.885,0.336817
96,e-,-39.2289,24.6235,-359.22,0.0295266
96,e-,38.4333,-31.8283,-345.25,0.560068
96,e-,37.6924,-32.3225,-343.158,0.406733
96,e-,38.4465,-33.0868,-342.207,0.294777
96,e-,38.7265,-33.3512,-341.812,0.0477734
97,e-,-13.5773,-42.5852,-365,5.37836
97,e-,-16.6389,-16.0333,-358.308,0.066792
97,e-,-14.04,-3.56473,-357.289,0.127095
97,e+,-34.3427,-29.0064,-365,5.31217
97,e+,-39.2319,-30.4352,-336.957,0.435846
97,gamma,-39.2319,-30.4352,-336.957,0.000538
97,e-,-39.2338,-30.4342,-336.939,0.00194041
97,e-,32.6778,-10.7101,-365,0.770639
97,e-,33.2774,-10.6817,-361.879,2.28978
97,e-,37.1075,-10.4136,-348.075,2.53042
97,e-,29.811,-4.78065,-339.737,0.100271
97,e-,4.87661,-3.77271,-363.746,0.0930015
98,e-,4.7295,-3.25096,-341.821,0.719131
98,e-,4.48629,-3.56014,-339.253,0.791243
98,e-,4.48629,-3.56014,-339.253,0.323841
98,e-,4.15753,-3.29469,-338.874,0.025292
98,e+,1.78885,-13.5928,-336.692,0.229507
98,e+,2.0073,-14.2645,-335.449,0.160854
98,e-,1.78885,-13.5928,-336.692,0.656745
98,e-,2.44885,-5.01766,-357.733,0.4473
98,e-,2.55317,-4.87537,-354.556,3.44964
98,e-,4.24774,-5.55692,-336.445,0.00697161
99,e-,-39.5002,20.4263,-364.946,0.0422042
99,e-,-38.8979,19.3275,-362.052,0.418337
99,e-,-39.502,18.7389,-360.501,0.351607
99,e-,-39.7584,17.685,-361.082,0.287348
99,e-,15.0307,-17.9724,-359.598,0.015592
99,e-,30.3629,4.34412,-360.764,0.148495
99,e-,27.0561,-9.89344,-357.747,0.313252
99,e-,9.21965,-7.94874,-361.897,0.0667442
99,e-,9.20381,-7.95489,-361.505,0.271243
99,e-,9.16168,-8.07561,-359.56,0.814336
99,e-,9.26011,-7.70397,-354.948,1.03991
99,e-,6.65517,-7.03883,-351.208,0.575641
99,e-,3.83509,-6.80702,-349.788,0.506499
99,e-,2.32513,-7.45195,-347.989,0.366234
99,e-,2.09525,-8.95021,-347.173,0.277861
99,e-,2.19445,-9.90562,-346.716,0.279581
99,e-,6.81326,-6.60952,-347.73,0.0114366
99,e-,43.8049,46.4447,-335.702,0.0914499
99,e-,10.4007,2.1786,-349.118,0.272956
12925
27,e-,4.16685,-11.7313,-360.384,0.631814
27,e-,3.68754,-13.2867,-357.002,0.519455
27,e-,2.89357,-14.6238,-354.697,0.363545
27,e-,1.16857,-15.0253,-353.578,0.361122
27,e-,0.18406,-15.2666,-352.409,0.403388
27,e-,-0.380811,-14.658,-352.43,0.0504446
27,e-,-46.4482,-17.139,-351.644,0.0010838
27,e-,12.73,20.3455,-353.391,0.775332
27,e-,13.0927,20.6741,-350.218,0.510774
27,e-,12.3037,20.9572,-348.166,0.121939
27,e-,12.1355,20.2851,-348.083,0.432901
27,e-,11.5357,19.7036,-347.193,0.201129
27,e+,-15.4043,-12.2481,-365,1.42633
27,e+,-16.2223,-12.8241,-357.881,2.79813
27,e+,-17.2017,-14.1759,-343.557,1.70759
27,e-,-17.2017,-14.1759,-343.557,0.372921
27,e-,-16.8202,-15.0299,-341.455,1.05602
27,e-,-19.7943,-17.4072,-336.495,0.327162
27,e-,-16.8202,-15.0299,-341.455,0.354002
27,e-,-17.2992,-15.7371,-341.39,0.110532
27,e-,-17.1529,-13.7366,-347.536,0.00172606
27,e-,-14.4452,-14.6682,-342.101,0.336616
27,e-,-15.031,-14.4969,-340.747,0.27884
27,e-,-15.0285,-13.8275,-340.306,0.163053
27,e-,0.85732,-3.3128,-337.533,0.057704
27,e-,1.40441,-4.10887,-337.007,0.304582
