eventID,volume,particle,edep_MeV
52,BremsTarget,e-,0.224928
52,BremsTarget,e-,0.297644
52,BremsTarget,e-,0.729203
52,BremsTarget,e-,0.377215
52,BremsTarget,e-,0.0455071
52,BremsTarget,e-,2.02898
52,BremsTarget,e-,0.190638
52,BremsTarget,e-,1.03215
52,BremsTarget,e-,0.304499
52,BremsTarget,e-,0.132151
52,BremsTarget,e-,0.349755
52,BremsTarget,e-,1.08245
52,BremsTarget,e-,1.51917
52,BremsTarget,e-,0.168097
52,BremsTarget,e-,0.00553275
52,BremsTarget,e-,1.92515
52,BremsTarget,e-,3.29749
52,BremsTarget,e-,0.901612
52,BremsTarget,e-,2.63009
52,BremsTarget,e-,0.0925735
52,BremsTarget,e-,0.0946895
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.361208
52,BremsTarget,e+,0.176588
52,BremsTarget,e+,0.193059
52,BremsTarget,e-,0.489878
52,BremsTarget,e-,0.167171
52,BremsTarget,e-,2.49796
52,BremsTarget,e-,0.938739
52,BremsTarget,e+,0.795197
52,BremsTarget,e+,1.05904
52,BremsTarget,e+,0.180282
52,BremsTarget,e+,0.960145
52,BremsTarget,e+,1.78106
52,BremsTarget,e+,0.03155
52,BremsTarget,e+,1.71704
52,BremsTarget,e+,1.44186
52,BremsTarget,e+,1.22408
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.44147
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.199129
52,BremsTarget,e-,0.242341
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.252824
52,BremsTarget,e-,1.29143
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0410187
52,BremsTarget,e-,0.252084
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0870076
52,BremsTarget,e-,0.0455275
52,BremsTarget,e-,1.59536
52,BremsTarget,e-,0.735155
52,BremsTarget,e-,0.0177083
52,BremsTarget,e-,1.13806
52,BremsTarget,e-,1.92079
52,BremsTarget,e-,0.257557
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.28713
52,BremsTarget,e-,0.0178371
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0749492
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.108079
52,BremsTarget,e-,0.100682
52,BremsTarget,e-,0.15607
52,BremsTarget,e-,0.979872
52,BremsTarget,e-,1.87188
52,BremsTarget,e-,0.254038
52,BremsTarget,e-,0.576843
52,BremsTarget,e-,0.744983
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0356412
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.106371
52,BremsTarget,e+,2.34735
52,BremsTarget,e+,0.828505
52,BremsTarget,e+,3.35737
52,BremsTarget,e+,1.0529
52,BremsTarget,e+,0.958078
52,BremsTarget,e+,0.933398
52,BremsTarget,gamma,0.012103
52,BremsTarget,e-,0.498896
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.125071
52,BremsTarget,e-,0.316398
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0794264
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0700588
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.242779
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.310762
52,BremsTarget,e-,1.76878
52,BremsTarget,e-,0.217296
52,BremsTarget,e-,2.1304
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.173124
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0341744
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.906142
52,BremsTarget,e+,3.0464
52,BremsTarget,e+,0.924735
52,BremsTarget,e+,0.182563
52,BremsTarget,e+,0.0416133
52,BremsTarget,e+,0.224852
52,Phantom,e+,2.80353
52,Phantom,e+,1.42149
52,Phantom,e+,1.30832
52,Scint1,e+,0.913611
52,Phantom,e-,0.786646
52,Phantom,e-,0.360116
52,Phantom,e-,0.493304
52,Phantom,e-,0.135932
52,Scint2,e-,0.166788
52,Scint1,e-,0.0101586
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0309477
52,BremsTarget,e-,0.425965
52,BremsTarget,e-,0.00470999
52,BremsTarget,e-,0.242582
52,BremsTarget,e-,0.244787
52,BremsTarget,e-,3.88547
52,BremsTarget,e-,3.03167
52,BremsTarget,e-,0.0790762
52,BremsTarget,e+,0.184546
52,BremsTarget,e+,0.523323
52,BremsTarget,e+,0.903019
52,BremsTarget,e+,2.10397
52,BremsTarget,e-,1.33786
52,BremsTarget,e-,0.244496
52,BremsTarget,e-,0.437084
52,BremsTarget,e-,0.192101
52,BremsTarget,e-,0.173521
52,BremsTarget,e-,1.47179
52,BremsTarget,e-,0.0387569
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0369392
52,BremsTarget,e-,0.77505
52,BremsTarget,e-,2.48065
52,BremsTarget,e-,0.351837
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.123079
52,BremsTarget,e-,0.31435
52,Phantom,e-,0.339528
52,Phantom,e-,0.301773
52,Phantom,e-,0.188773
52,BremsTarget,gamma,0.012103
52,BremsTarget,e-,0.448122
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0978145
52,BremsTarget,e+,0.988392
52,BremsTarget,e+,3.80681
52,BremsTarget,e+,0.350679
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.737901
52,BremsTarget,e-,1.87654
52,BremsTarget,e-,0.0118105
52,BremsTarget,e-,0.331652
52,BremsTarget,e-,0.51933
52,BremsTarget,e-,0.0543454
52,BremsTarget,e-,0.474771
52,BremsTarget,e-,0.0916408
52,BremsTarget,e-,0.219095
52,BremsTarget,e-,0.753391
52,BremsTarget,e-,1.0393
52,BremsTarget,e-,0.250222
52,BremsTarget,e-,0.33815
52,BremsTarget,e-,1.07339
52,BremsTarget,e-,0.411317
52,BremsTarget,e+,0.0740117
52,Phantom,e+,4.64405
52,Phantom,e+,0.54836
52,Phantom,e-,0.546058
52,Phantom,e-,0.168999
52,BremsTarget,e-,0.0831212
52,BremsTarget,gamma,0.000428
52,BremsTarget,e-,0.113392
52,BremsTarget,e-,0.0179618
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0692034
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0361105
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.0556308
52,BremsTarget,e-,0.118889
52,BremsTarget,e-,0.150088
52,BremsTarget,e-,0.0513828
52,Phantom,e-,0.233788
52,BremsTarget,e-,2.13165
52,BremsTarget,gamma,0.069529
52,BremsTarget,e-,0.146959
52,BremsTarget,e-,0.470201
52,BremsTarget,e-,0.154382
53,BremsTarget,e-,0.352984
53,BremsTarget,e-,0.385296
53,BremsTarget,e-,0.90807
53,BremsTarget,e-,0.139844
53,BremsTarget,e-,0.276511
53,BremsTarget,e-,1.78141
53,BremsTarget,e-,0.0960677
53,BremsTarget,e-,0.0895153
53,BremsTarget,e-,0.354976
53,BremsTarget,e-,1.16475
53,BremsTarget,e-,0.181753
53,BremsTarget,e-,1.2114
53,BremsTarget,e-,0.132177
53,BremsTarget,e-,0.28626
53,BremsTarget,e-,0.31773
53,BremsTarget,e-,0.231652
53,BremsTarget,e-,1.58879
53,BremsTarget,e-,0.272713
53,BremsTarget,e-,0.634493
53,BremsTarget,e-,1.18831
53,BremsTarget,e-,0.253214
53,BremsTarget,e-,0.182025
53,BremsTarget,e-,0.965894
53,BremsTarget,e-,0.445938
53,BremsTarget,e-,0.104454
53,BremsTarget,e-,0.851768
53,BremsTarget,e-,0.166286
53,BremsTarget,e-,0.889886
53,BremsTarget,e-,2.19868
53,BremsTarget,e-,0.481682
53,BremsTarget,e-,2.76777
53,BremsTarget,e+,0.212217
53,BremsTarget,e+,0.0960246
53,BremsTarget,e+,0.124515
53,BremsTarget,e+,0.197477
53,BremsTarget,e+,0.678644
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.318049
53,BremsTarget,e-,0.123421
53,BremsTarget,e-,0.545589
53,BremsTarget,e-,0.160134
53,BremsTarget,e-,0.179313
53,BremsTarget,e-,0.197307
53,BremsTarget,e-,0.0851872
53,BremsTarget,e-,0.229749
53,BremsTarget,e-,0.17396
53,BremsTarget,e-,0.0718545
53,BremsTarget,e-,0.00909963
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.0395164
53,BremsTarget,e-,0.0377933
53,BremsTarget,e-,0.191594
53,BremsTarget,e-,0.034625
53,BremsTarget,e-,0.035442
53,BremsTarget,e-,0.0427798
53,BremsTarget,e-,0.0335591
53,BremsTarget,e-,0.0367581
53,BremsTarget,e-,0.0370552
53,BremsTarget,e-,0.039485
53,BremsTarget,e-,0.0440886
53,BremsTarget,e-,0.0425923
53,BremsTarget,e-,0.102099
53,BremsTarget,e-,0.16283
53,BremsTarget,e-,0.0653977
53,BremsTarget,e-,0.139305
53,BremsTarget,e-,0.0636171
53,BremsTarget,e-,0.395955
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.174531
53,BremsTarget,e+,0.204971
53,BremsTarget,e+,0.336629
53,BremsTarget,e+,0.777305
53,BremsTarget,e+,0.887473
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.330038
53,BremsTarget,e-,0.111432
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.0575861
53,BremsTarget,e-,0.811129
53,BremsTarget,e-,0.111755
53,BremsTarget,e-,0.642347
53,BremsTarget,e-,0.0529493
53,BremsTarget,gamma,0.000599
53,BremsTarget,e-,1.40264
53,BremsTarget,e-,0.73759
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.110315
53,BremsTarget,e-,0.128466
53,BremsTarget,e-,0.999107
53,BremsTarget,e-,1.75387
53,BremsTarget,e+,3.59843
53,BremsTarget,e+,0.730645
53,BremsTarget,e+,0.668729
53,BremsTarget,e+,0.649324
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.102948
53,BremsTarget,e-,0.8494
53,BremsTarget,e-,0.838835
53,BremsTarget,e-,0.708792
53,BremsTarget,e-,0.823833
53,BremsTarget,e-,0.0258959
53,BremsTarget,e-,2.61867
53,BremsTarget,gamma,0.069529
53,BremsTarget,e-,0.104823
53,B,,BremsTarget,e-,1.653
73,BremsTarget,e-,1.65016
73,BremsTarget,e-,0.141146
73,BremsTarget,e-,0.0627559
73,BremsTarget,e-,2.68924
73,BremsTarget,e-,0.746618
73,BremsTarget,e-,0.152701
73,BremsTarget,e-,4.46887
73,BremsTarget,e-,1.34059
73,BremsTarget,e-,0.0245838
73,BremsTarget,e-,1.28028
73,BremsTarget,gamma,0.012103
73,BremsTarget,e-,0.0869222
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.149888
73,BremsTarget,e-,0.00599338
73,BremsTarget,e-,0.023341
73,BremsTarget,e-,1.84984
73,BremsTarget,gamma,0.011546
73,BremsTarget,e-,0.126769
73,BremsTarget,e-,0.108864
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.121995
73,BremsTarget,e-,0.0434682
73,BremsTarget,e-,0.138619
73,BremsTarget,e-,0.380215
73,BremsTarget,e-,2.24094
73,BremsTarget,e-,0.534
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.26181
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.252069
73,BremsTarget,e+,0.469895
73,BremsTarget,e+,0.390333
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.44147
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.180326
73,BremsTarget,e-,0.261144
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.121258
73,BremsTarget,e-,1.71768
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.136512
73,BremsTarget,e-,0.243109
73,BremsTarget,e-,1.30098
73,BremsTarget,e+,0.401897
73,BremsTarget,e+,3.99693
73,BremsTarget,e+,0.503448
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.169263
73,BremsTarget,e-,0.539804
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.0983165
73,BremsTarget,e-,0.0184484
73,BremsTarget,e-,0.106339
73,BremsTarget,e-,0.832307
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.112592
73,BremsTarget,e-,1.64861
73,BremsTarget,e-,1.00474
73,BremsTarget,e-,1.55758
73,BremsTarget,e-,0.533708
73,BremsTarget,e-,1.04427
73,BremsTarget,gamma,0.069529
73,BremsTarget,e-,0.0579865
