eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
36,Cherenkov,e-,999.945,-0.0446001,-0.029573,-950,Transportation,World
36,BremsTarget,e-,999.91,-0.125095,-0.0213277,-754.375,Transportation,World
36,Collimator,gamma,0.298031,32.9874,42.1086,-575,Transportation,World
36,Collimator,gamma,1.07394,39.6733,0.563416,-575,Transportation,World
36,Collimator,gamma,220.44,-6.88823,-7.65109,-575,Transportation,World
36,Collimator,gamma,0.510999,9.99424,0.339304,-537.778,Transportation,World
36,Collimator,gamma,0.31798,8.65984,-5.00072,-547.677,Transportation,World
36,Collimator,gamma,0.510999,7.53096,-6.57911,-547.072,Transportation,World
36,Collimator,e-,23.3864,-9.81127,1.93362,-552.046,Transportation,World
36,Collimator,gamma,0.7418,-9.95825,-0.912839,-552.769,Transportation,World
36,Phantom,gamma,0.412184,49.7413,25.7747,-365,Transportation,World
36,Phantom,gamma,0.709904,33.2094,22.5875,-365,Transportation,World
36,DWC1,gamma,0.709904,97.8564,71.1972,-50,Transportation,World
36,Collimator,gamma,0.429861,4.26687,9.04399,-529.357,Transportation,World
36,Phantom,gamma,0.376766,49.2895,-6.40226,-365,Transportation,World
36,Phantom,gamma,1.72893,35.2653,-5.1105,-365,Transportation,World
36,Collimator,gamma,0.561208,8.08135,-5.88998,-556.117,Transportation,World
36,Phantom,e-,56.5924,-12.6578,40.6962,-365,Transportation,World
36,Phantom,gamma,0.741132,-11.44,19.6636,-365,Transportation,World
36,Scint1,gamma,0.741132,-15.0152,40.9478,-202.5,Transportation,World
36,DWC1,gamma,0.741132,-18.3704,60.9221,-50,Transportation,World
36,DWC2,gamma,0.741132,-23.8707,93.667,200,Transportation,World
36,Phantom,gamma,2.47233,-4.13409,22.6223,-365,Transportation,World
36,Scint1,gamma,2.47233,-1.94693,46.2411,-202.5,Transportation,World
36,DWC1,gamma,2.47233,0.105632,68.4064,-50,Transportation,World
36,Phantom,gamma,2.66578,2.37298,26.5641,-365,Transportation,World
36,DWC1,gamma,2.66578,16.5626,78.3508,-50,Transportation,World
36,Phantom,gamma,5.20408,13.7006,35.9973,-365,Transportation,World
36,Phantom,gamma,0.882778,-14.0987,21.1334,-365,Transportation,World
36,Phantom,gamma,3.09599,-2.37868,-8.04734,-365,Transportation,World
36,Scint1,gamma,3.09599,-3.36137,-11.4313,-202.5,Transportation,World
36,DWC1,gamma,3.09599,-4.28358,-14.607,-50,Transportation,World
36,DWC2,gamma,3.09599,-5.79541,-19.8131,200,Transportation,World
36,Scint2,gamma,3.09599,-8.19921,-28.0908,597.5,Transportation,World
36,Phantom,gamma,0.478206,1.34701,-0.0725931,-365,Transportation,World
36,Scint1,gamma,0.478206,1.93919,-0.0936521,-202.5,Transportation,World
36,DWC1,gamma,0.478206,2.49493,-0.113415,-50,Transportation,World
36,DWC2,gamma,0.478206,3.40599,-0.145814,200,Transportation,World
36,Scint2,gamma,0.478206,4.85457,-0.197327,597.5,Transportation,World
36,Collimator,gamma,19.836,15.2044,-23.7593,-575,Transportation,World
36,Collimator,gamma,1.28586,47.3712,-13.6943,-575,Transportation,World
36,Collimator,gamma,1.04717,31.0033,-8.3039,-575,Transportation,World
36,Collimator,gamma,76.5492,10.2836,-17.6327,-575,Transportation,World
36,Collimator,gamma,0.578471,8.62773,-15.0343,-575,Transportation,World
36,Collimator,gamma,6.06073,-12.9766,-8.29946,-575,Transportation,World
36,Phantom,gamma,6.06073,-28.4291,-18.2327,-365,Transportation,World
36,Scint1,gamma,3.61182,-14.8684,17.07,-202.5,Transportation,World
36,DWC1,gamma,3.61182,0.86945,55.2738,-50,Transportation,World
36,Phantom,gamma,12.0837,-7.29905,2.58943,-365,Transportation,World
36,Scint1,gamma,12.0837,-10.3426,3.68831,-202.5,Transportation,World
36,DWC1,gamma,12.0837,-13.1989,4.71956,-50,Transportation,World
36,DWC2,gamma,12.0837,-17.8813,6.41015,200,Transportation,World
36,Scint2,gamma,12.0837,-25.3263,9.09818,597.5,Transportation,World
36,Phantom,gamma,0.812677,7.73742,-2.30145,-365,Transportation,World
36,Scint1,gamma,0.812677,11.0271,-3.2641,-202.5,Transportation,World
36,DWC1,gamma,0.812677,14.1143,-4.16751,-50,Transportation,World
36,DWC2,gamma,0.812677,19.1753,-5.64851,200,Transportation,World
36,Scint2,gamma,0.812677,27.2224,-8.0033,597.5,Transportation,World
36,Phantom,gamma,0.542852,3.7224,-0.568066,-365,Transportation,World
36,Scint1,gamma,0.542852,5.32305,-0.801477,-202.5,Transportation,World
36,DWC1,gamma,0.542852,6.82519,-1.02052,-50,Transportation,World
36,DWC2,gamma,0.542852,9.28772,-1.37962,200,Transportation,World
36,Scint2,gamma,0.542852,13.2031,-1.95058,597.5,Transportation,World
36,Phantom,gamma,1.33981,6.21394,-0.314592,-365,Transportation,World
36,Scint1,gamma,1.33981,8.86212,-0.441421,-202.5,Transportation,World
36,DWC1,gamma,1.33981,11.3473,-0.560445,-50,Transportation,World
36,DWC2,gamma,1.33981,15.4214,-0.755566,200,Transportation,World
36,Scint2,gamma,1.33981,21.8993,-1.06581,597.5,Transportation,World
36,Collimator,e+,84.1387,7.58249,8.72398,-575,Transportation,World
36,Collimator,e-,62.6024,9.26881,-8.1806,-575,Transportation,World
36,Collimator,gamma,1.37708,5.5114,8.34413,-534.308,Transportation,World
36,Collimator,gamma,0.512558,8.54002,5.2027,-566.727,Transportation,World
36,Collimator,e+,2.88014,0.485414,9.98821,-565.994,Transportation,World
36,Collimator,gamma,0.510999,-9.62564,-2.71055,-563.305,Transportation,World
36,Collimator,gamma,0.224664,6.30356,-7.76306,-555.794,Transportation,World
36,Collimator,gamma,1.22037,-1.3665,9.90619,-560.745,Transportation,World
36,Collimator,gamma,0.429989,11.0608,39.8797,-575,Transportation,World
36,Collimator,gamma,12.7755,39.7463,4.57504,-575,Transportation,World
36,Collimator,e+,11.6473,6.98728,-40.7345,-575,Transportation,World
36,Collimator,gamma,4.16356,32.8428,-11.0332,-575,Transportation,World
36,Collimator,gamma,5.02721,-17.8,29.8823,-575,Transportation,World
36,Collimator,e-,10.9306,8.71346,-4.90669,-555.285,Transportation,World
36,Collimator,e-,9.57659,-3.18665,-9.47867,-527.941,Transportation,World
36,Collimator,e-,2.28683,-9.99911,-0.133121,-537.296,Transportation,World
36,Collimator,e-,2.12303,9.62106,-2.72677,-547.969,Transportation,World
36,Collimator,gamma,0.0061604,8.56643,-5.1591,-562.391,Transportation,World
36,Collimator,gamma,4.02357,42.8644,19.9563,-575,Transportation,World
36,Collimator,gamma,1.89207,27.2201,24.1066,-575,Transportation,World
36,Collimator,gamma,5.28865,-9.9994,-0.109898,-572.779,Transportation,World
36,Phantom,gamma,5.28865,-21.6799,-0.230109,-365,Transportation,World
36,Scint1,gamma,5.28865,-30.8151,-0.324123,-202.5,Transportation,World
36,DWC1,gamma,5.28865,-39.3881,-0.412352,-50,Transportation,World
36,DWC2,gamma,5.28865,-53.4421,-0.556989,200,Transportation,World
36,Collimator,gamma,1.80192,51.4885,-16.4258,-575,Transportation,World
36,Collimator,gamma,11.5448,12.4322,-14.4035,-575,Transportation,World
36,Collimator,gamma,14.5518,29.6726,-33.9027,-575,Transportation,World
36,Collimator,gamma,2.57454,2.82,-15.8352,-575,Transportation,World
36,Collimator,gamma,0.328038,3.3454,-36.3215,-575,Transportation,World
36,Collimator,e-,0.724298,42.665,31.2114,-575,Transportation,World
36,Collimator,gamma,2.29436,2.10606,-54.5336,-575,Transportation,World
36,Collimator,gamma,4.05519,9.32458,47.5695,-575,Transportation,World
36,Collimator,e-,8.23853,3.8864,-45.8082,-575,Transportation,World
36,Collimator,gamma,0.960778,24.3605,-11.4167,-575,Transportation,World
36,Collimator,gamma,0.909039,37.0404,-16.5597,-575,Transportation,World
36,Collimator,gamma,0.736099,-27.2062,-0.315149,-575,Transportation,World
