eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
8,Cherenkov,e-,1999.95,-0.0103058,-0.00436201,-950,Transportation,World
8,BremsTarget,e-,1999.91,-0.0164312,-0.0138983,-754.375,Transportation,World
8,Collimator,e-,27.0603,-1.51568,29.1154,-575,Transportation,World
8,Collimator,gamma,6.2931,-29.588,23.1702,-575,Transportation,World
8,Collimator,gamma,19.2967,-23.7225,23.3422,-575,Transportation,World
8,Collimator,gamma,2.22852,-14.5569,24.5064,-575,Transportation,World
8,Collimator,e+,5.47608,-51.1837,23.9881,-575,Transportation,World
8,Collimator,gamma,2.14729,6.793,7.33861,-554.588,Transportation,World
8,Collimator,gamma,0.600629,6.81431,7.31883,-525.838,Transportation,World
8,Phantom,gamma,0.600629,11.8397,12.4923,-365,Transportation,World
8,Scint1,gamma,0.600629,16.917,17.7192,-202.5,Transportation,World
8,DWC1,gamma,0.600629,21.6819,22.6244,-50,Transportation,World
8,DWC2,gamma,0.600629,29.4932,30.6658,200,Transportation,World
8,Scint2,gamma,0.600629,41.9132,43.4516,597.5,Transportation,World
8,Phantom,gamma,25.9057,3.23844,12.8254,-365,Transportation,World
8,Scint1,gamma,25.9057,4.65675,18.2007,-202.5,Transportation,World
8,DWC1,gamma,25.9057,5.98778,23.2453,-50,Transportation,World
8,DWC2,gamma,25.9057,8.16981,31.5151,200,Transportation,World
8,Scint2,gamma,25.9057,11.6392,44.6641,597.5,Transportation,World
8,Collimator,gamma,1.29267,-55.9281,44.8159,-575,Transportation,World
8,Collimator,gamma,5.11965,17.3837,-22.02,-575,Transportation,World
8,Collimator,gamma,6.27176,13.6682,-19.4423,-575,Transportation,World
8,Collimator,gamma,2.31738,-8.8436,10.3835,-575,Transportation,World
8,Collimator,gamma,7.19916,-6.10456,12.2741,-575,Transportation,World
8,Collimator,gamma,7.03621,-6.57551,12.1077,-575,Transportation,World
8,Collimator,gamma,112.134,-8.59179,12.1564,-575,Transportation,World
8,Collimator,gamma,0.94386,-9.04396,-4.26693,-574.567,Transportation,World
8,Phantom,gamma,4.51194,-3.11958,49.1183,-365,Transportation,World
8,Collimator,gamma,0.510999,5.01141,-8.65366,-564.244,Transportation,World
8,Phantom,gamma,1.04674,-20.4327,12.0897,-365,Transportation,World
8,Scint1,gamma,1.04674,-29.5958,11.4755,-202.5,Transportation,World
8,DWC1,gamma,1.04674,-38.195,10.8992,-50,Transportation,World
8,DWC2,gamma,1.04674,-52.292,9.95428,200,Transportation,World
8,Collimator,gamma,0.429475,-4.70027,-8.82652,-531.436,Transportation,World
8,Collimator,gamma,0.596233,-9.3477,11.8747,-575,Transportation,World
8,Collimator,e+,118.636,7.64569,12.056,-575,Transportation,World
8,Collimator,gamma,1.17998,1.81187,-9.83449,-556.619,Transportation,World
8,Collimator,e-,0.204729,9.56301,-2.92383,-554.103,Transportation,World
8,Collimator,e-,0.200187,4.59649,-8.88101,-552.528,Transportation,World
8,Collimator,e-,0.082468,-9.96613,0.822372,-540.722,Transportation,World
8,Phantom,gamma,1.68784,-6.68061,-3.62185,-365,Transportation,World
8,Scint1,gamma,1.68784,-9.49054,-5.16977,-202.5,Transportation,World
8,DWC1,gamma,1.68784,-12.1275,-6.62244,-50,Transportation,World
8,DWC2,gamma,1.68784,-16.4505,-9.00385,200,Transportation,World
8,Scint2,gamma,1.68784,-23.324,-12.7903,597.5,Transportation,World
8,Collimator,e-,36.3371,0.972615,9.95259,-554.402,Transportation,World
8,Collimator,e-,27.3698,9.9993,0.118359,-528.807,Transportation,World
8,Collimator,e-,0.00930292,4.82667,8.75804,-545.075,Transportation,World
8,Phantom,gamma,92.4473,-7.7364,-2.17914,-365,Transportation,World
8,Scint1,gamma,92.4473,-11.0033,-3.10983,-202.5,Transportation,World
8,DWC1,gamma,92.4473,-14.0692,-3.98325,-50,Transportation,World
8,DWC2,gamma,92.4473,-19.0953,-5.41507,200,Transportation,World
8,Scint2,gamma,92.4473,-27.0867,-7.69168,597.5,Transportation,World
8,Collimator,gamma,1.52652,49.0207,-21.1072,-575,Transportation,World
8,Phantom,gamma,18.0492,4.98952,-0.037181,-365,Transportation,World
8,Scint1,gamma,18.0492,7.10766,-0.0659997,-202.5,Transportation,World
8,DWC1,gamma,18.0492,9.09544,-0.0930449,-50,Transportation,World
8,DWC2,gamma,18.0492,12.3541,-0.137381,200,Transportation,World
8,Scint2,gamma,18.0492,17.5354,-0.207876,597.5,Transportation,World
8,Collimator,e-,115.296,-24.8394,-2.59215,-575,Transportation,World
8,Phantom,gamma,2.4906,-39.994,17.4624,-365,Transportation,World
8,Phantom,gamma,1.07237,14.3105,-4.17826,-365,Transportation,World
8,Scint1,gamma,1.07237,44.7951,-1.26711,-202.5,Transportation,World
8,DWC1,gamma,1.07237,73.4038,1.46489,-50,Transportation,World
8,Phantom,gamma,3.78553,20.0256,10.0683,-365,Transportation,World
8,DWC1,gamma,3.78553,89.1426,40.6553,-50,Transportation,World
8,Collimator,gamma,0.970482,-24.754,-0.658811,-575,Transportation,World
8,Collimator,gamma,2.92416,-19.4766,-13.6209,-575,Transportation,World
8,Collimator,gamma,27.004,-13.9699,-14.799,-575,Transportation,World
8,Phantom,gamma,165.217,-0.829183,5.16697,-365,Transportation,World
8,Scint1,gamma,165.217,-1.16948,7.3374,-202.5,Transportation,World
8,DWC1,gamma,165.217,-1.48883,9.37426,-50,Transportation,World
8,DWC2,gamma,165.217,-2.01236,12.7134,200,Transportation,World
8,Scint2,gamma,165.217,-2.84477,18.0226,597.5,Transportation,World
8,Phantom,gamma,615.345,0.0914677,4.72314,-365,Transportation,World
8,Scint1,gamma,615.345,0.138374,6.70683,-202.5,Transportation,World
8,DWC1,gamma,615.345,0.182394,8.56845,-50,Transportation,World
8,DWC2,gamma,615.345,0.254558,11.6203,200,Transportation,World
8,Scint2,gamma,615.345,0.369298,16.4727,597.5,Transportation,World
8,Collimator,gamma,35.3266,0.352158,-19.1412,-575,Transportation,World
8,Phantom,gamma,2.22095,-28.6591,-24.1568,-365,Transportation,World
8,DWC1,gamma,2.22095,-73.6988,-30.6768,-50,Transportation,World
8,Collimator,e-,20.9414,-8.84815,22.5118,-575,Transportation,World
8,Collimator,gamma,2.85361,-23.4026,12.5376,-575,Transportation,World
8,Collimator,gamma,0.484465,-17.6925,-0.372414,-575,Transportation,World
