eventID,volume,particle,energy_MeV,theta_deg,phi_deg
26,Collimator,gamma,0.510999,74.6211,53.6111
26,Collimator,gamma,0.614651,63.3229,57.1763
26,Phantom,gamma,10.5072,16.4074,70.8245
26,Collimator,gamma,0.284496,109.131,108.724
26,Collimator,gamma,0.510999,73.502,90.6304
26,Collimator,gamma,0.700507,33.634,47.4861
26,Collimator,gamma,19.8411,5.21826,-91.0695
26,Phantom,gamma,1.29477,1.35017,-153.251
26,Scint1,gamma,1.29477,1.35017,-153.251
26,Collimator,gamma,0.285948,8.70413,-97.8078
26,Collimator,gamma,36.151,2.78031,-130.155
26,Collimator,gamma,0.213437,101.352,63.6268
26,Phantom,gamma,2.00765,6.90724,81.474
26,Phantom,gamma,0.778528,16.245,124.567
26,Collimator,gamma,0.964428,15.8656,-138.511
26,Phantom,gamma,527.703,0.983175,165.806
26,Scint1,gamma,527.703,0.983175,165.806
26,DWC1,gamma,527.703,0.983175,165.806
26,DWC2,gamma,527.703,0.983175,165.806
26,Scint2,gamma,527.703,0.983175,165.806
26,Collimator,gamma,13.3197,7.19156,-31.0927
26,Collimator,gamma,3.11703,6.09759,-80.3335
26,Phantom,gamma,373.232,0.859748,-144.325
26,Scint1,gamma,373.232,0.859748,-144.325
26,DWC1,gamma,373.232,0.859748,-144.325
26,DWC2,gamma,373.232,0.859748,-144.325
26,Scint2,gamma,373.232,0.859748,-144.325
26,Phantom,gamma,233.438,0.743391,-135.924
26,Scint1,gamma,233.438,0.743391,-135.924
26,DWC1,gamma,233.438,0.743391,-135.924
26,DWC2,gamma,233.438,0.743391,-135.924
26,Scint2,gamma,233.438,0.743391,-135.924
26,Phantom,gamma,22.6562,0.462818,146.346
26,Scint1,gamma,22.6562,0.462818,146.346
26,DWC1,gamma,22.6562,0.462818,146.346
26,DWC2,gamma,22.6562,0.462818,146.346
26,Scint2,gamma,22.6562,0.462818,146.346
26,Phantom,gamma,2.38541,0.62378,93.6691
26,Scint1,gamma,2.38541,0.62378,93.6691
26,DWC1,gamma,2.38541,0.62378,93.6691
26,DWC2,gamma,2.38541,0.62378,93.6691
26,Scint2,gamma,2.38541,0.62378,93.6691
26,Collimator,gamma,22.4997,4.90672,40.2351
26,Collimator,gamma,0.871151,7.80057,-105.167
26,Collimator,gamma,0.2814,16.0764,-23.1468
26,Phantom,gamma,5.21927,0.36672,139.785
26,Phantom,gamma,2.36455,0.305331,-167.044
26,Phantom,gamma,4.79627,0.360748,-163.503
26,Scint1,gamma,4.79627,0.360748,-163.503
26,DWC1,gamma,4.79627,0.360748,-163.503
26,DWC2,gamma,4.79627,0.360748,-163.503
26,Scint2,gamma,4.79627,0.360748,-163.503
26,Phantom,gamma,1.27451,17.3425,130.166
26,Collimator,gamma,1.54918,24.0635,165.081
26,Collimator,gamma,0.278035,116.756,59.6327
26,Phantom,gamma,4.50066,12.9504,128.092
26,DWC1,gamma,4.50066,12.9504,128.092
26,Collimator,gamma,2.13344,5.05449,-37.4252
26,Collimator,gamma,5.49335,4.34118,-52.552
26,Collimator,gamma,7.31494,3.96729,-152.524
26,Collimator,gamma,0.340178,78.6792,52.2633
26,Collimator,gamma,0.854562,23.325,-6.2003
