eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
14,Cherenkov,e-,2999.94,0.0125915,0.00294333,-950
14,BremsTarget,e-,2999.85,0.0278598,0.0187131,-754.375
14,Phantom,e-,59.8814,-6.97496,-6.3986,-365
14,Scint1,e-,34.8408,-10.2112,-6.42535,-202.5
14,DWC1,e-,34.0353,-14.3307,-5.11117,-50
14,DWC2,e-,33.971,-16.8345,-6.02676,200
14,Scint2,e-,33.8807,-16.2643,-7.62869,597.5
14,Scint1,gamma,0.297945,-5.97373,-4.44844,-202.5
14,DWC1,gamma,0.276498,-91.8274,-6.14299,-50
14,Scint1,gamma,18.5575,2.44221,-16.089,-202.5
14,DWC1,gamma,18.5575,11.8009,-25.2901,-50
14,DWC2,gamma,18.5575,27.1431,-40.3738,200
14,Phantom,gamma,0.505803,-3.66205,-14.1017,-365
14,Scint1,gamma,0.505803,-5.22348,-19.9836,-202.5
14,DWC1,gamma,0.505803,-6.68882,-25.5035,-50
14,DWC2,gamma,0.505803,-9.09102,-34.5526,200
14,Scint2,gamma,0.505803,-12.9105,-48.9407,597.5
14,Collimator,gamma,0.292443,-3.56529,-11.6249,-575
14,Collimator,gamma,19.3706,7.68941,-20.5524,-575
14,Collimator,gamma,39.4407,9.06271,-9.80298,-575
14,BremsTarget,gamma,0.258965,39.6309,1.78221,-745.625
14,Collimator,gamma,0.601377,-2.60362,-9.65511,-554.949
14,Collimator,gamma,5.81738,-7.47744,-6.63987,-532.599
14,Collimator,gamma,26.6089,-9.0727,-4.20549,-532.799
14,Phantom,gamma,26.6089,-16.1098,-7.46228,-365
14,Scint1,gamma,26.6089,-22.9248,-10.6162,-202.5
14,DWC1,gamma,26.6089,-29.3203,-13.5761,-50
14,DWC2,gamma,26.6089,-39.8048,-18.4284,200
14,Cherenkov,gamma,0.510999,26.6215,11.909,-850
14,Collimator,gamma,0.510999,-45.7946,-20.2489,-575
14,Phantom,gamma,0.430035,4.80617,7.33875,-365
14,Scint1,gamma,0.430035,6.8136,10.425,-202.5
14,DWC1,gamma,0.430035,8.69749,13.3214,-50
14,DWC2,gamma,0.430035,11.7858,18.0695,200
14,Scint2,gamma,0.430035,16.6963,25.6189,597.5
14,Phantom,gamma,4.01471,-0.22163,7.41479,-365
14,Scint1,gamma,4.01471,-0.331829,10.533,-202.5
14,DWC1,gamma,4.01471,-0.435246,13.4594,-50
14,DWC2,gamma,4.01471,-0.604783,18.2567,200
14,Scint2,gamma,4.01471,-0.874347,25.8844,597.5
14,BremsTarget,e-,0.0572311,48.5196,37.9799,-745.625
14,Phantom,gamma,0.766391,-0.272795,-7.32348,-365
14,Collimator,gamma,1.98523,33.5144,18.4083,-575
