eventID,particle,x_mm,y_mm,z_mm,edep_MeV
6,e-,-1.38274,4.99067,-365,1.04218
6,e-,-1.4084,5.09784,-357.568,0.13981
6,e-,-1.4121,5.10907,-356.78,1.48449
6,e-,-1.50555,5.2615,-347.831,1.30565
6,e-,-1.54441,5.38272,-339.543,0.829602
6,gamma,-1.4121,5.10907,-356.78,0.000538
6,e-,-1.42476,5.1308,-355.137,0.013755
6,e+,1.7644,1.56326,-365,1.55694
6,e+,1.69818,1.61253,-356.299,3.12254
6,e+,1.05798,2.03433,-337.74,0.441518
6,gamma,1.05798,2.03433,-337.74,0.000288
6,e-,1.05509,2.03995,-337.607,0.0147133
6,e-,-0.0734376,1.44163,-365,4.2472
6,e-,-0.107228,1.62245,-343.37,0.87259
6,e-,-0.130001,1.69539,-338.516,0.556319
6,e-,14.0314,-10.1916,-362.991,0.239525
6,e-,13.7493,-10.4312,-361.849,0.305917
6,e-,13.7275,-10.6623,-360.831,0.242554
6,e+,19.5699,40.0148,-365,2.94719
6,e+,20.5779,43.8108,-346.405,0.973662
6,e+,20.6926,45.0753,-340.884,1.19482
6,e-,20.6926,45.0753,-340.884,0.386556
6,e-,21.4724,45.7481,-340.3,0.229106
6,e-,20.5779,43.8108,-346.405,0.292256
6,e-,-32.4225,-13.9132,-365,1.61758
6,e-,-35.3167,-14.6538,-354.579,1.55652
6,e-,-38.0194,-15.9323,-346.319,1.93814
6,gamma,-38.0194,-15.9323,-346.319,0.000288
6,e-,-40.6478,-17.0026,-338.857,0.00956492
6,e-,-35.3167,-14.6538,-354.579,0.344934
6,e-,-34.9803,-13.9507,-353.039,0.327447
6,e-,-34.5221,-13.819,-352.032,0.254078
6,e-,-2.0573,3.41217,-363.735,0.022818
6,e-,-8.56638,-8.05271,-363.018,0.0911005
6,e+,-3.78224,-5.78744,-365,0.944527
6,e+,-3.84824,-5.85225,-359.67,0.585867
6,e+,-3.87658,-5.87667,-356.897,0.25904
6,e+,-3.89055,-5.89474,-355.279,0.889529
6,e+,-3.92627,-6.02531,-350.049,0.646686
6,e+,-4.01146,-6.11069,-346.041,2.12611
6,e-,-4.01146,-6.11069,-346.041,0.301268
6,e-,-4.31162,-6.77728,-345.571,0.168607
6,e-,-3.87658,-5.87667,-356.897,0.383224
6,e-,-3.84824,-5.85225,-359.67,0.39992
6,e-,-5.55404,-5.97496,-357.605,0.590078
6,e-,-6.87049,-4.94032,-356.67,0.312086
6,e-,-6.99217,-4.09402,-356.679,0.151789
7,e+,-41.719,-47.2115,-345.4,0.335319
7,e+,-41.5593,-47.4928,-344.749,0.0745527
7,e-,-41.719,-47.2115,-345.4,0.0191751
