eventID,volume,energy_MeV,x_mm,y_mm,z_mm
26,Collimator,0.510999,8.33912,5.51898,-565.255
26,Collimator,0.614651,9.08882,4.17054,-543.704
26,Phantom,10.5072,13.748,37.7945,-365
26,Collimator,0.284496,-3.91024,9.20381,-572.776
26,Collimator,0.510999,-1.68348,9.85728,-541.657
26,Collimator,0.700507,9.99571,0.292834,-525.194
26,Collimator,19.8411,-0.396732,-15.8399,-575
26,Phantom,1.29477,-4.39519,-19.9952,-365
26,Scint1,1.29477,-7.81535,-21.719,-202.5
26,Collimator,0.285948,-3.65924,-26.1592,-575
26,Collimator,36.151,-6.44694,-7.64441,-543.207
26,Collimator,0.213437,1.57232,9.87562,-541.566
26,Phantom,2.00765,-4.54424,10.4665,-365
26,Phantom,0.778528,-33.8719,29.2349,-365
26,Collimator,0.964428,-36.5432,-32.3318,-575
26,Phantom,527.703,-6.4066,1.57863,-365
26,Scint1,527.703,-9.11018,2.26244,-202.5
26,DWC1,527.703,-11.6474,2.90417,-50
26,DWC2,527.703,-15.8067,3.95619,200
26,Scint2,527.703,-22.4201,5.6289,597.5
26,Collimator,13.3197,18.6132,-11.2872,-575
26,Collimator,3.11703,3.05878,-18.2173,-575
26,Phantom,373.232,-4.69868,-3.40143,-365
26,Scint1,373.232,-6.67962,-4.82357,-202.5
26,DWC1,373.232,-8.53865,-6.1582,-50
26,DWC2,373.232,-11.5862,-8.34611,200
26,Scint2,373.232,-16.4319,-11.8249,597.5
26,Phantom,233.438,-3.59551,-3.50716,-365
26,Scint1,233.438,-5.11028,-4.97387,-202.5
26,DWC1,233.438,-6.53183,-6.35031,-50
26,DWC2,233.438,-8.86225,-8.60679,200
26,Scint2,233.438,-12.5676,-12.1946,597.5
26,Phantom,22.6562,-2.59692,1.68845,-365
26,Scint1,22.6562,-3.68958,2.41588,-202.5
26,DWC1,22.6562,-4.715,3.09856,-50
26,DWC2,22.6562,-6.39601,4.21769,200
26,Scint2,22.6562,-9.06882,5.99711,597.5
26,Phantom,2.38541,-0.273749,4.15222,-365
26,Scint1,2.38541,-0.386968,5.91781,-202.5
26,DWC1,2.38541,-0.493219,7.57474,-50
26,DWC2,2.38541,-0.667402,10.291,200
26,Scint2,2.38541,-0.944352,14.6099,597.5
26,Collimator,22.4997,11.1496,9.24185,-575
26,Collimator,0.871151,-6.28552,-22.9673,-575
26,Collimator,0.2814,45.9717,-19.6815,-575
26,Phantom,5.21927,-1.89264,1.55181,-365
26,Phantom,2.36455,-2.0108,-0.508516,-365
26,Phantom,4.79627,-2.33721,-0.738027,-365
26,Scint1,4.79627,-3.31824,-1.02857,-202.5
26,DWC1,4.79627,-4.2389,-1.30124,-50
26,DWC2,4.79627,-5.74818,-1.74823,200
26,Scint2,4.79627,-8.14794,-2.45895,597.5
26,Phantom,1.27451,-35.0552,39.5218,-365
26,Collimator,1.54918,-8.36512,-5.47949,-536.801
26,Collimator,0.278035,-3.88744,9.21346,-536.549
26,Phantom,4.50066,-22.5148,28.1652,-365
26,DWC1,4.50066,-67.2024,85.1742,-50
26,Collimator,2.13344,11.8257,-9.27419,-575
