eventID,volume,particle,edep_MeV
2,BremsTarget,e-,1.54181
2,BremsTarget,e-,0.758035
2,BremsTarget,e-,0.0442148
2,BremsTarget,e-,0.168632
2,BremsTarget,e-,0.496089
2,BremsTarget,e-,0.68049
2,BremsTarget,e-,1.87552
2,BremsTarget,e-,0.118075
2,BremsTarget,e-,0.342887
2,BremsTarget,e-,0.0144244
2,BremsTarget,e-,0.123742
2,BremsTarget,e-,0.307109
2,BremsTarget,e-,0.880786
2,BremsTarget,e-,0.545453
2,BremsTarget,e-,0.841848
2,BremsTarget,e-,0.456059
2,BremsTarget,e-,0.719103
2,BremsTarget,e-,0.19044
2,BremsTarget,e-,0.219118
2,BremsTarget,e-,0.587292
2,BremsTarget,e-,0.191803
2,BremsTarget,e-,0.443375
2,BremsTarget,e-,0.733285
2,BremsTarget,e-,2.17271
2,BremsTarget,e-,1.00878
2,BremsTarget,e-,0.830132
2,BremsTarget,e-,0.105851
2,BremsTarget,e-,0.929467
2,BremsTarget,e-,0.361
2,BremsTarget,e-,0.0652718
2,BremsTarget,e-,0.427571
2,BremsTarget,e-,0.79903
2,BremsTarget,e-,1.59688
2,BremsTarget,e-,0.459251
2,Phantom,e-,0.526984
2,BremsTarget,gamma,0.012103
2,BremsTarget,e-,0.120195
2,BremsTarget,e+,2.09763
2,BremsTarget,e-,0.51306
2,BremsTarget,e-,0.709396
2,BremsTarget,e-,1.08018
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.104228
2,BremsTarget,e+,3.82115
2,BremsTarget,e+,0.358408
2,BremsTarget,e+,0.0325167
2,BremsTarget,e-,0.381407
2,BremsTarget,e-,0.688917
2,BremsTarget,e-,0.28746
2,BremsTarget,e-,0.488473
2,BremsTarget,e-,0.00872911
2,BremsTarget,e-,0.12551
2,BremsTarget,e-,1.70246
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.1954
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.0523424
2,BremsTarget,e+,0.942235
2,BremsTarget,e+,0.200033
2,BremsTarget,e+,0.143063
2,BremsTarget,e+,0.322508
2,BremsTarget,e+,0.980756
2,BremsTarget,e+,1.22899
2,BremsTarget,e+,1.35291
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.0711505
2,BremsTarget,e-,0.11516
2,BremsTarget,e-,0.142619
2,BremsTarget,e-,0.11254
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.363719
2,BremsTarget,e-,0.0777507
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.110602
2,BremsTarget,gamma,0.002823
2,BremsTarget,e-,0.0980627
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.162765
2,BremsTarget,e-,0.0252386
2,BremsTarget,e-,0.089452
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.169837
2,BremsTarget,e-,0.0568689
2,BremsTarget,e-,0.878107
2,BremsTarget,e-,0.39766
2,Phantom,e-,0.915739
2,Phantom,e-,0.845323
2,Phantom,e-,0.638672
2,Phantom,e-,0.509049
2,Phantom,e-,0.418145
2,Phantom,e-,0.319952
2,Phantom,e-,0.340679
2,Phantom,e-,0.0175596
2,Scint1,e-,0.00306445
2,Scint1,e-,0.00213316
2,Scint1,e-,0.00187354
2,Scint1,e-,0.00550543
2,Scint1,e-,0.00544254
2,Scint1,e-,0.0100577
2,Scint1,e-,0.0215974
2,Scint1,e-,0.0828227
2,BremsTarget,e-,0.852752
2,BremsTarget,gamma,0.011546
2,BremsTarget,e-,0.0516777
2,BremsTarget,e-,0.00455317
2,BremsTarget,e+,0.494502
2,BremsTarget,e+,0.352675
2,BremsTarget,e+,0.255837
2,BremsTarget,e+,0.354645
2,BremsTarget,e+,0.577964
2,BremsTarget,e+,0.246216
2,BremsTarget,e+,0.444507
2,BremsTarget,e+,0.608672
2,BremsTarget,e+,1.52415
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.130822
2,BremsTarget,e-,0.0810828
2,BremsTarget,e-,0.229565
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.44147
2,BremsTarget,e-,0.0942143
2,BremsTarget,e-,0.848294
2,BremsTarget,e+,0.0908178
2,BremsTarget,e+,0.0830006
2,BremsTarget,e+,0.110719
2,BremsTarget,e+,0.799754
2,BremsTarget,e+,0.121929
2,BremsTarget,e+,0.10385
2,BremsTarget,e+,2.17851
2,BremsTarget,e+,4.16738
2,BremsTarget,e+,0.662104
2,BremsTarget,gamma,0.002283
2,BremsTarget,e-,0.508716
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.44147
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.0699308
2,BremsTarget,e-,0.284136
2,BremsTarget,e-,0.18685
2,BremsTarget,e-,0.244052
2,BremsTarget,e-,0.530708
2,BremsTarget,e-,0.154145
2,BremsTarget,e-,0.195102
2,BremsTarget,e-,0.284712
2,BremsTarget,e-,0.36618
2,BremsTarget,e-,0.299567
2,BremsTarget,e-,0.23958
2,BremsTarget,e-,0.23298
2,BremsTarget,e-,0.24149
2,BremsTarget,e-,0.161452
2,BremsTarget,e-,0.513369
2,BremsTarget,e-,0.413541
2,BremsTarget,e-,0.00160962
2,BremsTarget,e-,0.190216
2,BremsTarget,e-,0.159903
2,BremsTarget,e-,0.0928632
2,BremsTarget,e-,0.137825
2,BremsTarget,e-,0.0367179
2,BremsTarget,e-,0.108326
2,BremsTarget,e-,0.102858
2,BremsTarget,e-,0.117761
2,BremsTarget,e-,0.071691
2,BremsTarget,e-,0.0507256
2,BremsTarget,e-,0.0760318
2,BremsTarget,e-,0.00829557
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.0476891
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.19141
2,BremsTarget,e-,2.78615
2,BremsTarget,e-,0.383308
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.152062
2,BremsTarget,e+,0.707367
2,BremsTarget,e+,0.43503
2,BremsTarget,e+,0.429573
2,BremsTarget,e+,0.215036
2,BremsTarget,e+,0.260578
2,BremsTarget,e+,0.205938
2,BremsTarget,e+,0.16876
2,BremsTarget,e+,0.166711
2,BremsTarget,e+,0.301261
2,BremsTarget,e+,0.168567
2,BremsTarget,e-,0.0350606
2,BremsTarget,e-,1.3845
2,BremsTarget,e-,0.497205
2,BremsTarget,e-,0.459084
2,BremsTarget,e-,0.196065
2,BremsTarget,e-,0.157989
2,BremsTarget,e-,0.062673
2,BremsTarget,e-,5.10122
2,BremsTarget,e-,1.10325
2,BremsTarget,e-,0.0207697
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.0323993
2,BremsTarget,e+,0.475429
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.102872
2,BremsTarget,e-,0.0597113
2,BremsTarget,e-,0.278886
2,BremsTarget,gamma,0.010209
2,BremsTarget,e-,0.50079
2,BremsTarget,e-,0.0945821
2,BremsTarget,e+,3.02297
2,BremsTarget,e+,3.08873
2,BremsTarget,e+,0.817171
2,BremsTarget,e+,1.07633
2,BremsTarget,e+,1.9294
2,BremsTarget,e+,0.296142
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.44147
2,BremsTarget,gamma,0.012103
2,BremsTarget,e-,0.359014
2,BremsTarget,e-,0.139882
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.145922
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.0285217
2,BremsTarget,gamma,0.012103
2,BremsTarget,e-,0.343164
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.106376
2,BremsTarget,e-,0.472594
2,BremsTarget,e-,2.35278
2,BremsTarget,e-,0.117722
2,BremsTarget,e-,1.03236
2,BremsTarget,e-,1.63843
2,BremsTarget,e-,4.03082
2,BremsTarget,e-,0.97408
2,BremsTarget,e-,0.394437
2,BremsTarget,e-,0.46867
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.155307
2,BremsTarget,gamma,0.002283
2,BremsTarget,e-,0.182574
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.103681
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.0342105
2,BremsTarget,e-,2.36036
2,BremsTarget,e-,0.2263
2,BremsTarget,gamma,0.069529
2,BremsTarget,e-,0.105707
2,BremsTarget,e+,1.81321
2,BremsTarget,e+,0.330817
2,BremsTarget,e+,0.232239
2,BremsTarget,e+,0.182287
2,BremsTarget,e+,0.137018
