eventID,volume,particle,energy_MeV,theta_deg,phi_deg
0,Phantom,gamma,0.777399,5.28628,-51.641
0,Collimator,gamma,0.777399,5.28628,-51.641
0,Phantom,gamma,29.0801,5.51516,-52.5012
0,Collimator,gamma,29.0801,5.51516,-52.5012
0,Phantom,gamma,24.7092,3.88993,-62.819
0,Collimator,gamma,24.7092,3.88993,-62.819
0,Phantom,gamma,35.6418,5.56665,-48.3401
0,Collimator,gamma,35.6418,5.56665,-48.3401
0,Phantom,gamma,1.18349,3.69821,12.7509
0,Collimator,gamma,1.18349,3.69821,12.7509
0,Phantom,gamma,11.807,3.79423,63.4316
0,Collimator,gamma,11.807,3.79423,63.4316
0,Phantom,gamma,43.2449,3.26844,62.8034
0,Collimator,gamma,43.2449,3.26844,62.8034
0,Collimator,gamma,0.510999,84.6825,-104.886
0,Phantom,gamma,11.2408,3.15622,105.575
0,Collimator,gamma,11.2408,3.15622,105.575
0,Phantom,gamma,11.0846,3.19261,25.3262
0,Collimator,gamma,11.0846,3.19261,25.3262
0,Phantom,gamma,4.83027,3.38757,24.759
0,Collimator,gamma,4.83027,3.38757,24.759
0,Phantom,gamma,3.7929,4.93474,15.0333
0,Collimator,gamma,3.7929,4.93474,15.0333
0,Phantom,gamma,1.20042,4.36906,9.27815
0,Collimator,gamma,1.20042,4.36906,9.27815
0,Phantom,gamma,1.66386,13.3429,75.1064
0,Phantom,gamma,0.931074,9.57394,-23.4921
0,Collimator,gamma,0.931074,9.57394,-23.4921
0,Phantom,gamma,7.42105,9.99133,27.5166
0,Collimator,gamma,7.42105,9.99133,27.5166
0,Cherenkov,gamma,0.596607,166.566,-114.232
0,Phantom,gamma,3.79551,8.61757,154.632
0,Collimator,gamma,3.79551,8.61757,154.632
0,Phantom,gamma,0.492755,14.4661,-47.7619
0,Phantom,gamma,2.21601,18.0703,-36.4937
0,Phantom,gamma,0.510999,11.6167,-142.546
0,Collimator,gamma,0.510999,11.6167,-142.546
0,Phantom,gamma,97.7049,1.97994,-30.1375
0,Collimator,gamma,97.7049,1.97994,-30.1375
0,Collimator,gamma,0.576463,137.883,58.4444
0,Collimator,gamma,0.42529,74.5327,172.057
0,Collimator,gamma,0.651735,30.0449,108.712
0,Collimator,gamma,0.456588,63.0701,137.43
0,Phantom,gamma,9.08046,6.68444,70.265
0,Collimator,gamma,9.08046,6.68444,70.265
