eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm
32,Cherenkov,e-,496.903,-0.00160546,-0.0114701,-950
32,BremsTarget,e-,496.845,0.0287303,-0.0370144,-754.375
32,Collimator,e-,38.9286,-52.8079,35.229,-575
32,Collimator,gamma,3.645,-52.8735,33.6516,-575
32,Collimator,gamma,7.1933,-43.0582,54.975,-575
32,Collimator,gamma,0.182452,-23.9245,40.6117,-575
32,Collimator,gamma,0.471035,-17.0523,38.2885,-575
32,Collimator,gamma,3.12208,-16.078,48.4497,-575
32,Collimator,gamma,15.2219,0.869654,24.377,-575
32,Collimator,gamma,0.802007,-5.68411,33.9458,-575
32,Collimator,gamma,1.06176,-10.8184,21.7922,-575
32,Collimator,gamma,125.863,2.76082,20.8258,-575
32,Collimator,gamma,0.928259,15.6399,18.2542,-575
32,Collimator,gamma,19.5592,8.59015,17.796,-575
32,Collimator,gamma,2.39363,9.96589,0.825211,-566.625
32,Collimator,gamma,0.865446,3.7454,-9.27211,-543.697
32,Collimator,gamma,1.01201,10.8879,-0.213075,-575
32,Collimator,gamma,0.364943,-6.80862,7.32412,-565.655
32,Collimator,gamma,0.510999,-5.26144,-32.6641,-575
32,Collimator,e-,65.6838,-4.47882,20.5339,-575
32,Collimator,gamma,0.339368,7.4053,6.72024,-537.16
32,Collimator,gamma,0.333387,-1.33285,25.6139,-575
32,Collimator,gamma,2.2097,-9.58695,10.0144,-575
32,Collimator,gamma,55.2224,-17.6575,19.4658,-575
32,Phantom,gamma,5.74774,-0.0175572,48.7389,-365
32,DWC1,gamma,5.74774,30.653,93.2179,-50
32,Collimator,gamma,3.6078,-24.4883,26.5152,-575
32,Collimator,gamma,14.2768,-21.4296,18.0346,-575
32,Collimator,gamma,42.009,-19.9259,20.5065,-575
32,Collimator,gamma,0.989394,-1.0139,-9.94847,-570.362
32,Collimator,gamma,10.908,-17.5641,22.4328,-575
32,Collimator,gamma,0.677502,9.63848,3.56309,-575
32,Collimator,gamma,2.19118,10.059,2.96874,-575
32,Collimator,gamma,7.09555,43.8853,13.02,-575
32,Cherenkov,gamma,2.8655,0.174479,-0.171259,-950
32,BremsTarget,gamma,2.8655,0.418642,-0.462886,-754.375
33,Cherenkov,e-,499.951,-0.0168669,0.0268553,-950
33,BremsTarget,e-,499.912,-0.0278765,0.184028,-754.375
33,Collimator,gamma,5.82198,8.04668,33.9823,-575
33,Collimator,gamma,25.0854,19.8409,18.7186,-575
33,Collimator,gamma,16.1792,5.62267,11.5361,-575
33,Collimator,gamma,0.984645,-9.9742,-0.717905,-542.229
33,Collimator,e-,0.201222,33.7567,-17.6206,-575
33,Phantom,gamma,35.0033,7.73457,12.0472,-365
33,Scint1,gamma,35.0033,10.9945,17.0089,-202.5
33,DWC1,gamma,35.0033,14.0539,21.6653,-50
33,DWC2,gamma,35.0033,19.0692,29.2987,200
33,Scint2,gamma,35.0033,27.0435,41.4357,597.5
33,Collimator,e+,13.5416,-17.1149,41.9445,-575
