eventID,particle,x_mm,y_mm,z_mm,edep_MeV
35,e+,-2.56806,-2.57172,-365,0.329932
35,e+,-2.58723,-2.59023,-362.824,1.98093
35,e+,-2.58399,-2.57615,-352.973,2.90501
35,e-,-2.58399,-2.57615,-352.973,0.52699
35,e-,-1.6744,-1.00641,-350.502,0.708973
35,e-,-1.2307,0.781122,-348.976,0.301001
35,e-,-0.584769,1.92248,-349.163,0.279275
35,e-,0.0213633,2.03677,-349.41,0.10826
35,e-,-32.473,25.3901,-365,2.50954
35,e-,-35.3235,26.4017,-351.14,2.85545
35,e-,-13.5969,1.01904,-349.213,0.000711153
35,e-,-3.52764,-1.4882,-352.508,0.0561053
35,e-,-34.3331,6.95326,-340.07,0.124592
35,e-,4.46324,-48.3321,-360.005,0.3859
35,e-,4.67921,-48.7776,-359.192,0.307022
35,e-,4.77282,-49.3494,-359.768,0.141544
7.05649,-2.35288,-365,1.1293
51,e+,7.21417,-2.35471,-358.296,0.830158
51,e+,7.3235,-2.3763,-353.893,2.94098
51,e+,7.69364,-2.3816,-336.956,0.34265
51,e-,7.69364,-2.3816,-336.956,0.392143
51,e-,7.27106,-3.31762,-335.198,0.0414338
51,e-,7.3235,-2.3763,-353.893,0.36286
51,e-,7.83254,-1.83433,-353.394,0.117691
51,gamma,7.21417,-2.35471,-358.296,0.000538
51,e-,7.45468,-2.39042,-348.401,0.0207674
51,e-,-4.60161,4.21128,-365,2.63759
51,e-,-4.89585,4.12309,-351.924,2.88867
51,gamma,-31.4865,5.67294,-358.227,0.002476
51,e-,-42.6495,-5.63486,-342.988,0.0311688
51,e-,-31.4865,5.67294,-358.227,0.000277789
51,e-,-31.2596,5.75683,-358.332,0.000895755
51,e-,-5.06084,3.99715,-347.104,0.00356482
66,-5.84521,-337.127,0.200064
1,e-,5.24869,-7.92695,-341.295,0.330063
1,e-,4.79719,-8.62919,-340.228,0.362149
1,e-,4.45674,-9.15584,-340.148,0.0126421
1,e-,-3.37079,-1.20941,-347.662,0.0310111
2,e-,-32.6696,6.26801,-345.243,0.31417
2,e-,-32.5325,5.93016,-344.598,0.103425
3,e-,-37.5744,5.62465,-337.584,0.443775

31,e-,-21.257,-6.90374,-335.183,0.126078
31,e-,-17.6442,-1.68468,-343.161,0.19088
