eventID,volume,energy_MeV,x_mm,y_mm,z_mm
0,Phantom,0.777399,11.1484,-13.4075,-565
0,Collimator,0.777399,22.0582,-27.1926,-375
0,Phantom,29.0801,11.3916,-14.1398,-565
0,Collimator,29.0801,22.5594,-28.6946,-375
0,Phantom,24.7092,6.37636,-11.224,-565
0,Collimator,24.7092,12.2779,-22.7166,-375
0,Phantom,35.6418,12.4777,-13.4478,-565
0,Collimator,35.6418,24.7867,-27.2827,-375
0,Phantom,1.18349,12.1425,2.38021,-565
0,Collimator,1.18349,24.1205,5.09075,-375
0,Phantom,11.807,6.02725,10.6362,-565
0,Collimator,11.807,11.6631,21.9061,-375
0,Phantom,43.2449,5.3737,9.07279,-565
0,Collimator,43.2449,10.3328,18.7236,-375
0,Collimator,0.510999,2.77063,-9.60852,-359.998
0,Phantom,11.2408,-2.13829,9.50261,-565
0,Collimator,11.2408,-4.95142,19.5949,-375
0,Phantom,11.0846,9.85925,4.10795,-565
0,Collimator,11.0846,19.4387,8.64151,-375
0,Phantom,4.83027,10.4743,4.27941,-565
0,Collimator,4.83027,20.6872,8.98956,-375
0,Phantom,3.7929,15.9721,3.85628,-565
0,Collimator,3.7929,31.8154,8.11136,-375
0,Phantom,1.20042,14.4849,1.9786,-565
0,Collimator,1.20042,28.8115,4.31905,-375
0,Phantom,1.66386,11.8207,42.4577,-565
0,Phantom,0.931074,29.3331,-12.9616,-565
0,Collimator,0.931074,58.7241,-25.7363,-375
0,Phantom,7.42105,29.7199,14.8273,-565
0,Collimator,7.42105,59.4059,30.2918,-375
0,Cherenkov,0.596607,-15.9582,-25.9832,-850
0,Phantom,3.79551,-23.5508,10.7234,-565
0,Collimator,3.79551,-49.5687,23.0598,-375
0,Phantom,0.492755,32.2047,-35.8628,-565
0,Phantom,2.21601,48.4901,-36.4246,-565
0,Phantom,0.510999,-27.5374,-22.6346,-565
0,Collimator,0.510999,-58.5441,-46.3876,-375
0,Phantom,97.7049,5.812,-3.61279,-565
0,Collimator,97.7049,11.4924,-6.9106,-375
0,Collimator,0.576463,6.56086,7.54686,-374.722
0,Collimator,0.42529,-9.59837,-2.80559,-351.114
0,Collimator,0.651735,7.15033,6.9909,-333.656
0,Collimator,0.456588,-9.93702,1.12057,-343.924
0,Phantom,9.08046,7.66422,20.4252,-565
0,Collimator,9.08046,15.1833,41.3848,-375
