eventID,volume,particle,energy_MeV,x_mm,y_mm,z_mm,process,fromVolume
24,Cherenkov,e-,499.929,0.0283854,-0.0323167,-950,Transportation,World
24,BremsTarget,e-,499.887,0.061801,-0.0527807,-754.375,Transportation,World
24,Collimator,gamma,8.49947,-15.6933,-29.1665,-575,Transportation,World
24,Collimator,gamma,8.91472,-7.95537,37.3181,-575,Transportation,World
24,BremsTarget,e-,1.89434,-0.709678,-1.01797,-745.625,Transportation,World
24,Phantom,gamma,85.8037,3.08997,-9.62251,-365,Transportation,World
24,Scint1,gamma,85.8037,4.44928,-13.6485,-202.5,Transportation,World
24,DWC1,gamma,85.8037,5.72495,-17.4266,-50,Transportation,World
24,DWC2,gamma,85.8037,7.8162,-23.6204,200,Transportation,World
24,Scint2,gamma,85.8037,11.1413,-33.4685,597.5,Transportation,World
24,Phantom,gamma,12.2473,0.441157,-8.89476,-365,Transportation,World
24,Scint1,gamma,12.2473,0.679382,-12.6127,-202.5,Transportation,World
24,DWC1,gamma,12.2473,0.902948,-16.1018,-50,Transportation,World
24,DWC2,gamma,12.2473,1.26945,-21.8217,200,Transportation,World
24,Scint2,gamma,12.2473,1.85219,-30.9163,597.5,Transportation,World
24,Collimator,gamma,103.335,-9.99767,-4.31619,-575,Transportation,World
24,Collimator,gamma,0.594013,-4.79638,-8.77466,-569.16,Transportation,World
24,Collimator,gamma,0.66171,1.14986,-9.93367,-542.007,Transportation,World
24,Collimator,gamma,2.71494,1.99803,-9.79836,-535.995,Transportation,World
24,Collimator,gamma,0.904908,7.19139,-6.94866,-563.386,Transportation,World
24,Collimator,gamma,21.827,-4.55054,-46.7769,-575,Transportation,World
24,Collimator,e-,1.45981,-4.86776,-48.2788,-575,Transportation,World
24,Phantom,gamma,0.928799,-6.29613,-8.03761,-365,Transportation,World
24,Scint1,gamma,0.928799,-8.94003,-11.3877,-202.5,Transportation,World
24,DWC1,gamma,0.928799,-11.4212,-14.5316,-50,Transportation,World
24,DWC2,gamma,0.928799,-15.4888,-19.6856,200,Transportation,World
24,Scint2,gamma,0.928799,-21.9561,-27.8804,597.5,Transportation,World
24,Collimator,e+,21.8224,20.4133,22.3051,-575,Transportation,World
24,Collimator,gamma,0.704246,29.7445,-2.62691,-575,Transportation,World
24,Collimator,gamma,0.184276,29.2907,3.16555,-575,Transportation,World
24,Collimator,gamma,1.77697,36.0663,11.1768,-575,Transportation,World
24,Phantom,gamma,1.77854,4.87097,-10.307,-365,Transportation,World
24,Scint1,gamma,1.77854,6.96204,-14.6279,-202.5,Transportation,World
24,DWC1,gamma,1.77854,8.92443,-18.6829,-50,Transportation,World
24,DWC2,gamma,1.77854,12.1415,-25.3305,200,Transportation,World
24,Scint2,gamma,1.77854,17.2565,-35.9001,597.5,Transportation,World
24,Collimator,gamma,0.510999,-53.8821,19.106,-575,Transportation,World
24,Phantom,gamma,8.59733,-15.2416,-2.47558,-365,Transportation,World
24,Scint1,gamma,8.59733,-21.6415,-3.49094,-202.5,Transportation,World
24,DWC1,gamma,8.59733,-27.6476,-4.44382,-50,Transportation,World
24,DWC2,gamma,8.59733,-37.4937,-6.00592,200,Transportation,World
24,Phantom,gamma,3.5959,-8.20219,-0.255789,-365,Transportation,World
24,Scint1,gamma,3.5959,-11.6566,-0.341502,-202.5,Transportation,World
24,DWC1,gamma,3.5959,-14.8984,-0.421941,-50,Transportation,World
24,DWC2,gamma,3.5959,-20.2129,-0.553807,200,Transportation,World
24,Scint2,gamma,3.5959,-28.6629,-0.763475,597.5,Transportation,World
24,Cherenkov,gamma,0.230692,34.6192,-41.4904,-850,Transportation,World
24,Cherenkov,gamma,2.08624,-22.9349,-21.502,-850,Transportation,World
24,Collimator,gamma,8.06319,6.65056,7.46793,-543.752,Transportation,World
24,Collimator,e+,1.35459,6.48428,7.61276,-538.689,Transportation,World
24,Collimator,e+,1.18627,-7.39455,6.73206,-533.969,Transportation,World
24,Collimator,e+,1.11551,-7.42899,6.69404,-533.976,Transportation,World
24,Collimator,e+,1.07169,-0.23461,-9.99725,-567.472,Transportation,World
24,Collimator,gamma,0.510999,-4.38031,8.9896,-568.246,Transportation,World
24,Collimator,gamma,12.0457,-9.38096,-3.46374,-535.418,Transportation,World
24,Phantom,gamma,12.0457,-16.7639,-6.14103,-365,Transportation,World
24,Scint1,gamma,12.0457,-23.8038,-8.69393,-202.5,Transportation,World
24,DWC1,gamma,12.0457,-30.4105,-11.0897,-50,Transportation,World
24,DWC2,gamma,12.0457,-41.2411,-15.0172,200,Transportation,World
25,Cherenkov,e-,500,0,0,-950,Transportation,World
25,BremsTarget,e-,499.899,-0.11822,-0.145489,-754.375,Transportation,World
25,Collimator,gamma,1.6576,-2.62112,-30.7408,-575,Transportation,World
25,Collimator,gamma,0.529483,-4.33623,25.3987,-575,Transportation,World
